zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Хабаровский край,Комсомольск-на-Амуре,Развлечения в Комсомольске-на-Амуре,Собор Казанской Иконы Божьей Матери,Andrey_0373,4,"Первое, что бросилось в глаза, это то, что этот собор очень похож на собор в Хабаровске, находящийся на Комсомольской площади... Интересно связаны ли как-то эти факты: собор на Комсомольской площади и собор в городе Комсомольске. И оба города - на реке Амур! Красивая постройка из красного кирпича с голубыми куполами. Внутри церковное убранство как полагается - красивый алтарь, много икон на стенах и потолке, красивейшая божественная роспись. Путь на 5 минут, но стоит посетить!",Опубликовано 23 июля 2015 г.
Дальневосточный округ,Хабаровский край,Комсомольск-на-Амуре,Развлечения в Комсомольске-на-Амуре,Собор Казанской Иконы Божьей Матери,ArturGlebov,5,"Красивый Собор, расположен в центре города. С виду кажется большим, но внутри мало места, но зато очень душевно.",Опубликовано 15 сентября 2015 г.
Дальневосточный округ,Хабаровский край,Комсомольск-на-Амуре,Развлечения в Комсомольске-на-Амуре,Собор Казанской Иконы Божьей Матери,Dmitry Kulikov,3,Собор не имеет исторической и туристической ценности. Только религиозное. Построен в нынешнее время.,Опубликовано 31 мая 2015 г.
Дальневосточный округ,Хабаровский край,Комсомольск-на-Амуре,Развлечения в Комсомольске-на-Амуре,Собор Казанской Иконы Божьей Матери,Elena1978911,5,"Во всех городах, как только есть возможность, сразу иду в церковь. Это моя личная традиция. И в Комсомольске-на-Амуре всегда захожу в этот собор. Небольшой, но внутри очень хорошо убран (в смысле убранства). Есть иконы Николая Чудотворца, Святой Анны. Во всех смыслах место располагает к Богу.",Опубликовано 14 июля 2016 г.
Дальневосточный округ,Хабаровский край,Комсомольск-на-Амуре,Развлечения в Комсомольске-на-Амуре,Собор Казанской Иконы Божьей Матери,Evgenii T,5,"Небольшая красивая церковь почти в самом центре города, символ недалёко жд вокзал и гостиница Восток.",Опубликовано 26 декабря 2015 г.
Дальневосточный округ,Хабаровский край,Комсомольск-на-Амуре,Развлечения в Комсомольске-на-Амуре,Собор Казанской Иконы Божьей Матери,Kirbyk,3,"Поскольку Комсомольск был построен с нуля в советские времена, у города нет смысла если история или культура. Это может помочь объяснить недостаток храмов. Очень хорошее, компактное здание, расположенное на перекрестке двух крупнейших проспектов.",Перевод: PROMT
Дальневосточный округ,Хабаровский край,Комсомольск-на-Амуре,Развлечения в Комсомольске-на-Амуре,Собор Казанской Иконы Божьей Матери,Olga E,4,"Я не религиозный человек, но даже так всегда приятно на фоне крупнопанельных домов аля 70-е видеть такой симпатичный собор. Его изображение печатают на доброй половине магнитиков и прочей местной сувенирной продукции.",
Дальневосточный округ,Хабаровский край,Комсомольск-на-Амуре,Развлечения в Комсомольске-на-Амуре,Собор Казанской Иконы Божьей Матери,Slavyi,2,"Собор стал заложником бессмысленной моды на строительство церквей. Мало того что здание само по себе откровенно убого, так и место выбрано крайне неудачно. Он стоит на самом большом просторном проспекте города - Первостроителей , олицетворяющем молодость , целеустремленность, торжество технологий и разума, в целом всего того, чем славился город в советские годы.",Опубликовано 4 января 2016 г.
Дальневосточный округ,Хабаровский край,Комсомольск-на-Амуре,Развлечения в Комсомольске-на-Амуре,Собор Казанской Иконы Божьей Матери,Zhulik A,5,Центральный храм практически в центре города. Здание вроде как не так давно отреставрировано после использования не по назначению. Очень красиво и благородно.,Опубликовано 20 августа 2015 г.
Дальневосточный округ,Хабаровский край,Комсомольск-на-Амуре,Развлечения в Комсомольске-на-Амуре,Собор Казанской Иконы Божьей Матери,mezapam,4,"Иногда хочется побыть одному. Подумать. Помолиться. Как говорит молодежь, ""наладить связь с космомом"". В храме это можно сделать. Неспешная обстановка. Мысли о высоком... о вечном. И иконы. Они говорят с тобой и успокаивают. Хочется подойти к каждой. Тут главное, чтобы вездесущие смотрительницы не стали тебя поучать. Но после того, как я сказала, что хочу побыть одня и спасибо, мне не нужна помощь, меня оставили в покое. И даже не верится, что за стенами храма - сумасшедший университет, огромная гостиница, вокзал и вообще - очень оживленный перекресток.",Опубликовано 28 октября 2015 г.
