zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,199vladimir,5,"Посетили замечательное место- океанариум. Отдыхаешь душой, прекрасный реллакс. Представление просто супер.",Опубликовано 6 января 2018 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,20142014,5,"Приморский океанариум один из лучших Океанариумов мира! Говорю это не голословно, т.к. побывала в океанариумах Дубая и Циндао, Осаки и Сингапура! И наш не уступает и по содержанию, и по техническому оснащению, а по некоторым параметрам иных и превосходит! Очень рекомендую к посещению!",Опубликовано 21 мая 2018 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,280tatyana,2,"Неприятное знакомство с самого начала. Приехали из далека, посмотреть на приморский акеанариум и в итоге: 2 часа стояли на жаре с детьми возле закрытых ворот, т.к знали что занимать очередь надо пораньше. когда открыли ворота вся толпа бегом побежала к кассам за билетами, а надо сказать, что бежать не близко, расстояние примерно в 1 км, самое ужасное, что бежать пришлось и старикам.... билетов на представление с дельфинами ограниченное количество, а посмотреть хочется, тем более тем кто проездом. автобусы от кпп до самого акеанариума ходят как попало, и расписания нет. Воощем такие вот там организационные моменты",Опубликовано 23 августа 2017 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,4uk4a,5,"Брали с подругами экскурсию только по самому океанариуму, одним словом - потрясающе!!! Описывать довольно сложно, поэтому просто сходите туда обязательно, понравится и детям, и взрослым :)))",Опубликовано 3 июля 2018 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,546858,5,"Океанариум и вся территория вокруг очень красиво сделаны, все современно, можно там целый день провести. много общественного транспорта туда ходит, туристов много иностранных. красивый зал, где проходит шоу. Рекомендую.",Опубликовано 9 августа 2018 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,560sergeiii,5,"Океанариум который я видел в Токио, нервно курит в сторонке. Не смотря на все скандалы связанные с его строительством, объект получился очень достойный. Замечательное приобретение для Владивостокаю его жителей и гостей. Советую посетить,сами все увидите.",Опубликовано 10 января 2019 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,664elenau,5,"Очень впечатляет океанариум уже своей территорией до входа в сам океанариум. Красивейшие экспозиции морских живностей в преддверии объекта. Неудобно в ветренный день добираться до него, а в хорошую погоду приятно прогуляться от проходной минут 10 до самого океанариума, если автобус уже ушел. Автобус с проходной до океанариума ходит через 20 мин. Сам океанариум впечатляет своей необычностью. Но по занавес ждешь чего то большого и того чего нет в других океанариумах, но пока не хватает заключительной изюминки. Наверное над этим поработают и в следующие поездки этот объект оправдает больше надежд.",Опубликовано 19 февраля 2017 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,704evgeniy,5,"Очень красиво! Постоянно заселяется новыми обитателями! Красиво вокруг! Есть где погулять. В общем - готовьтесь провести там большую часть дня. Особенно если на улице тепло. Билеты лучше брать заранее! Мы посещали многие океанариумы в разных странах. Самый лучший - в Сингапуре. Владивостокский - очень может конкурировать с ним. Он гораздо лучше сеульского, куала-лумпурского, гонконгского, шанхайского и многих других океанариумов!",Опубликовано 9 октября 2019 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,70yuriyd,3,"Учитывая географическое месторасположения объекта, богатство Северных морей и Тихого океана и опят в океанариуме должно быть гораздо больше живых представителей подводного мира в том числе и субтропических. Я считаю, что при таких ""космических"" затратах могло быть и лучше.",Опубликовано 26 октября 2016 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,775Alexander,5,"Очень крутой океанариум. Экспозиция требует не менее 3-х часов вдумчивого прохождения. Зал наполнен не только живыми экспонатами, но и большим количеством интересных мультимедиа инсталляций.
Присутствовали также на репетиции выступления дельфинов. Дельфинарий поразил своими размерами. Жаль не удалось посетить полноценное шоу.
Крайне рекомендую для всех гостей и жителей Владивостока к посещению.",
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,82_2014,5,"Давно слышали о новом океанариуме и вот , после приезда внучки из Новосибирска, решили съездить туда. И это того стоило. Прекрасно все начиная с территории вокруг Океанариума с фигурами рыб и разных морских гадов, с фонтанами, с большим сквером, где при хорошей погоде приятно погулять. Кроме всего шикарный детский игровой городок.
Сам океанариум - отдельный разговор: холл с огромным экраном где показывали жизнь подводного мира, разнообразие представителей не только морских глубин, но и рек и озер Приморья. Чего стоит громадный аквариум со скатами.
Обязательно надо посетить представление с участием белух, дельфинов и т.д.Видел нечто подобное в Гонконге-рядом не стояло. У нас на голову выше.
Идти сюда надо не на час-два, а на целый день.",Опубликовано 12 декабря 2018 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,888SvetLana,4,"из патриотических соображений и, с учетом того, что у нас вообще ничего такого не было - очень даже классное место. По факту если говорить - много недоделок.. Часть рыбок и прочих морских созданий не подписаны были на момент посещения - сиди гадай ху из ху... вообще 7 баллов из 10 можно поставить. Территория приятная",Опубликовано 12 июля 2017 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,A-a-ka2010,5,"Замечательно! Понравилось всё. Провели целый день, ребёнок 12 лет не хотел уходить. Единственное замечание-организация питания. Не вкусно, нет выбора и дорого. Тк у нас был с собой перекус, это впечатление не испортило.",Опубликовано 1 мая 2023 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,A69-niisf,5,"Посетили в рамках конференции. Пока это лучшее, что придумали и реализовали организаторы.
Программа шикарная. До этого момента считал лучшим дельфинарий в Севастополе.
Экспозиция несколько слабже. Много интерактивных игрушек, маловато местной специфики.
Непонятно, зачем столь большой акцент на тропическую растительность, тем более что садом орхидей данную подборку назвать проблематично. Банальный фаленопсисы, Мильтонии, дендробиумы... есть куда развиваться.
Вот концертная программа впечатляет.",Опубликовано 5 октября 2018 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,AVadimo,5,Великолепное место для отдыха и познавательных приключений для всей семьи. Отличное представление дельфинов.,Опубликовано 20 апреля 2018 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,Academyjapanese,5,"Дух захватывает, когда вы только заходите на территорию Приморского океанариума! С сопок на вас глядят фигуры обитателей моря, машут вам клешнями или равнодушно ползут мимо.
Внутри океанариума вас ждут настоящие приключения и фильмы о море и морских обитателях!
Кому-то покажется, что океанариум пустоват, то только не мне! Он прекрасен и удивителен для тех, кто влюблен в море!",Опубликовано 29 октября 2018 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,Aleksandr S,5,"Мы наконец-то решили посетить наш Приморский океанариум во вторник, 17 июля. В полдень на сайте приобрели на этот же день билеты по 1200 рублей на вход плюс представление в дельфинарии на 15-00. Очень удобно, но билеты обязательно нужно распечатать самостоятельно. На осмотр трёх экспозиций мы потратили почти два часа, плюс представление в Дельфинарии шло около 40 минут. Да, это в России самый продвинутый и большой океанариум. Понравилось, что много посвящено дальневосточным и восточно-сибирским рекам, озёрам и морям, этого в других океанариумах мира не увидишь, акулы, улыбающиеся скаты, пираньи, аквариумные рыбки есть везде. Ещё одной особенностью океанариума является образовательный уклон, это ещё и музей с фильмами, залами о подводном мире разных периодов формирования Земли. Представление с дельфинами, белухами, моржом Мишей и морскими котиками оставляет самые положительные эмоции. Я считаю, что посещение Приморского океанариума с детьми без представления в дельфинарии не имеет смысла. О минусах не хочу писать, отмечу, что у продвинутых путешественников, посетивших подобные заведения по всему миру, конечно, есть разное восприятие Приморского Океанариума. Просто вспомните, что несколько лет назад во Владивостоке был только маленький океанариум ""Аквамир"" на спортивной набережной.",
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,Aleksei M,5,"Очень красивый океанариум. Интересное наполнение, интересное оформление как внутреннего пространства, так и окружающей территории. Остались довольны посещением",Опубликовано 25 апреля 2020 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,Alex Greebson,5,"Сложно описать всё то, что я увидел будучи 3 раза в нём. Ещё столько же я не увидел, так как он огромен. Здесь можно гулять весь день, но так и не увидеть всего, так как всё разнообразие растений и животных завораживает, вводит в транс и ты забываешь, что время ограничено.",Опубликовано 13 марта 2019 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,AlexKrivosheev,3,"На посещение нужно хотя бы 2 часа. Экспозиция очень добротная. Рекомендую посетить. Комбинация видео, фигур, информационных стендов и живых существ прекрасна.
Есть экскурсии и какое-то шоу, но мы в спешке не могли попасть на них.
Теперь о минусах. Парковка в 1км от входа. Каждые 20мин ходит автобус. Остановка не крытая и в непогоду будет оч.неудобно ждать. Такси за шлагбаум не пускают. Перед входом есть большая пустая .... парковка. Смысл такого положения вещей находится за гранью моего понимания. Что мешает пускать туда такси на 10-15 минут!? Внутри экспозиции то тут, то там выглядывает совок. Неработающие билетные терминалы, закрытые буфеты. Все для посетителей.",Опубликовано 4 апреля 2017 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,Alexander K,5,"Стоит того , что бы побывать! Не пренебрегайте шоу в дельфинарии, трюки может быть уже видели, но качество света, звука, огромный экран с видеокартинкой. На пять с плюсом. Экспозиция тоже интересная, особенно если с экскурсоводом. Прилегающая территория - все продумано. Вроде как 3-й в мире по объему воды.",Опубликовано 3 октября 2019 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,Alexander S,5,"Очень красивый архитектурный ансамбль. Место привлечения туристов как российских так и иностранных. Правда смертность морских животных портит ему репутацию на первых порах. Все сделано по последнему слову океанариумной техники. И подводные галереи и шоу морских животных и аквариумы с экзотическими обитателями. Рекомендую, получите удовольствие.",Опубликовано 4 марта 2017 г.
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,Alexey K,5,"Тянется к мировому уровню, хотя, конечно, до ведущих образцов пока не дотягивает.
Радует, что нет налёта провинциальности и дидактического подхода, чем так часто грешат многие российские музеи.
Конечно, хотелось бы побольше рыб и действительно больших аквариумов.
Интересно организована экспозиция дождевого леса.

Внешне здание и территория - довольно классно: подходы украшены морскими жителями, есть смотровая площадка на Русский мост.
При мне мужик ремонтировал акулу) Хорошо, что ухаживают.",
Дальневосточный округ,Приморский край,Русский,Развлечения в Русском,Приморский Oкеанариум,Alissa752,4,"Очень красивая территория, большой парк, скульптуры в виде обитателей морского дна. Экспозиция очень интересная. Тропиччески лес просто замечательный.",Опубликовано 7 ноября 2017 г.
