zone,region,city,att_type,att_name,author,rating,comment,comment_date
Центральный округ,Москва,Развлечения в Москве,,,0wrainb0w,4,"Когда-то до революции 1917-года у храма Христа Спасителя стоял памятник Александру III, а сейчас история распорядилась так, что недавно здесь был установлен памятник отцу Александра III - Александру II, памятник которому до революции стоял на территории Кремля. Царь при мундире и орденах, в мантии. А на постаменте указаны заслуги Александра II перед отечеством.",Опубликовано 16 декабря 2015 г.
Центральный округ,Москва,Развлечения в Москве,,,2000RIVERSIDE2000,4,"Этот памятник открыт возле храма Христа Спасителя в 2005 году. Александр II изображен в военном мундире и царской мантии. Скульптура в полный рост установлена на гранитный пьедестал, где золотыми буквами выбиты многие заслуги Александра II.",Опубликовано 15 декабря 2015 г.
Центральный округ,Москва,Развлечения в Москве,,,Aldusku,4,"Мне памятник нравится. Он имеет сложную историю: первоначально возведен в 1893 на склоне Кремлёвского холма, обращённого к Москве-реке. Его проект вызвал много критики: «Безумного строителя бездарный выбран план — Царя-Освободителя поставить в кегельбан». 1918 году был уничтожен. В наше время расположению 6 метровой статуи на территории Кремля помещали требования к культурному объекту Всемирного наследия ЮНЕСКО и ФСО.

Мне нравиться смотреть на памятник «со спины»: ощущение словно царь-освободитель преклонил колени перед Храмом спасителя. Царь-Прометей, принесший огонь реформ, был вынужден пасть перед вековыми устоями.",
Центральный округ,Москва,Развлечения в Москве,,,Allan_Kirby,4,"Памятник Александру II Освободителю обнаружил на Пречистенской набережной возле храма Христа Спасителя, интересно император России, какой след в истории?
Александр II - один из самых успешных и деятельных государей России в тысячелетней истории.
На 26-летнее правление этого царя пришлась победа в русско-турецкой войне и продажа американцам Аляски, подавление Польского восстания и отмена крепостного права, расцвет русского терроризма и расширение государственных границ.
Очень интересный факт, в разрезе нынешних событий в мире - территория Финляндии.
Финский народ прожил в составе Российской империи больше века.
В феврале 1808-го русские войска перешли границу с Финляндией, и уже 1 апреля, до заключения перемирия, был обнародован манифест Александра I, который провозглашал, что «шведская Финляндия» покорена и отныне навсегда присоединена к России как отдельное Великое княжество.
Александр II - финны называют царём-освободителем, при нем финское княжество получило невиданные по тем временам права и свободы.
Во-первых, царь даровал Финляндии автономию.
Во-вторых, сохранил финскую конституцию.
В-третьих, пообещал не нарушать давних законов и не отбирать привилегии.
При Александре II в Финляндии возникла новая промышленность – бумагоделательная, что обусловило рост грузоперевозок и, как следствие, развитие транспортной инфраструктуры. Российский самодержец внёс свою лепту и в реформацию образовательной сферы, инициировав программу создания поддерживаемых государственной казной народных волостных школ.
С огромным воодушевлением жители Суоми встретили поистине эпохальный документ – манифест о финском языке, которым российская власть отменяла превалирование языка шведского. Финский становился государственным языком, начал доминировать в делопроизводстве, прессе, науке, литературе, театре.
И главный «подарок» Александра II – возобновление деятельности сейма, что имело огромное значение для укрепления национального самосознания финнов.",
Центральный округ,Москва,Развлечения в Москве,,,Andrew M,4,"Статуя царя Александра II находится в небольшом саду напротив Храма Христа Спасителя. Он был на официальном открытии оригинальной церкви. По обе стороны от его статуи находятся два льва, кажущиеся стоящими на страже. Его статуя стоит на черном основании перед полукруглой дугой с четырьмя колоннами. Мемориальная доска на основании статуи ссылается на 1861 год, который был годом, когда он освободил крепостных (рабов), а также 1881 год, который был годом, когда он умер от убийства. Статуя была установлена в 2005 году. Эта область может быть достигнута, пройдя красную линию метро 1 до станции Кропоткинская и прогуливаясь мимо собора, а затем повернув направо на Всехсвятский переулок. Статуя Александра будет видна через несколько минут ходьбы.

Он был лидером современного мышления, который пытался внести необходимые изменения в автократическую систему, в которой люди были недовольны. Это изменение, за которое он больше всего вспоминается, - это освобождение крепостных. Крестьяне были преобразованы от рабов к крепостным в 1723 году Петром Великим, но это не сильно изменило их образ жизни. Решение об эмансипации в 1861 году было за четыре года до того, как Авраам Линкольн освободил рабов в США. К сожалению, оба лидера были убиты. Было много попыток убить Александра II, и у него была специальная бомбоубежища, но он совершил ошибку, покинув экипаж после первого нападения, и вторая бомбовая атака убила его.

Он предложил много реформ судебной и парламентской системе, которые были приостановлены, когда его преемником был Александр III, который был назначен царем. Иронично, что в 1912 году в парке был установлен памятник Александру III, но был уничтожен большевиками в 1918 году.",
Центральный округ,Москва,Развлечения в Москве,,,Andrey P,3,"Мы - уникальный народ и уникальная страна. С тем же усердием и истовостью, с которой поднимали руки на партсобраниях, митингах и демонстрациях, сегодня стоим со свечками, часами ждём очереди приложиться к святыням и восторгаемся без меры всеми подряд императорами, ну может Николаем Вторым в чуть меньшей степени. Слов нет - император конечно менее одиозный : ведь крепостное право отменил ? Отменил ! Тем более погиб от рук террористов - как же не восторгнуться ? Кстати, вы знаете, что в городе Иваново совсем недавно переименовали улицу Боевиков - нормально ? Так что где там родина терроризма пальцем показывать не будем. Что касается места - то конечно, под зонтиком Христа-Спасителя святым становится памятник любому деятелю прошлых веков, хотя я уже писал - стоит бетонная литая коробка обложенная кирпичом, но все уже в экстазе. И от Александра II, да и от любого другого. Памятник как памятник, что Гоголю от Советского правительства, что Александру II от мэрии Москвы. Ничего не меняется.",Опубликовано 16 июня 2016 г.
Центральный округ,Москва,Развлечения в Москве,,,EugeneTr,4,"Памятник, одному из людей, кто вершил нашу историю. И это хорошо, что мы помним эту историю, и не забываем о людях на неё влияющих. В былые времена, памятник Александру II стоял в кремле.",
Центральный округ,Москва,Развлечения в Москве,,,Evgeny K,4,"Памятник Александру II, Освободителю, -воздвигнут у территории Храма Христа-Спасителя. Монументально, Глобально.",Опубликовано 27 октября 2014 г.
Центральный округ,Москва,Развлечения в Москве,,,Gen Pin,5,"Мое личное мнение, что данный памятник Александру II один из самых удачных.

Удачно, как и расположение возле Храма Христа спасителя, так и само архитектурно художественное решение.

Заслуги Александра II перед отечеством огромны:
• отмена крепостного права;
• введение системы местного самоуправления;
• проведение военной и судебной реформ;
• завершение многолетней Кавказской войны.

Автор памятника — член-корреспондент Российской академии художеств скульптор Александр Рукавишников. В работе ему помогали архитектор Игорь Воскресенский и художник Сергей Шаров.
Памятник открыт в 2005 году.",Опубликовано 5 декабря 2015 г.
Центральный округ,Москва,Развлечения в Москве,,,Igor Alexeev,5,"По личным ощущениям - один из немногих достойных памятников, сооружённых в Москве на стыке XX-XXI веков... Достойных, в смысле архитектурных качеств памятника, и в смысле - личности увековеченного в бронзе... Александр II Освободитель, безусловно, внёс весьма существенный вклад в отечественное развитие... Поэтому и погиб от рук террористов... Опять же, по личным ощущениям, место для памятника (в сквере у Храма Христа Спасителя) также выбрано удачно... Поскольку храм строился в том числе и по его, императора Александра II Освободителя, повелению... Правда и погиб храм был, как и сам император, от неправедных рук...",
