zone,region,city,att_type,att_name,author,rating,comment,comment_date
Центральный округ,Москва,Развлечения в Москве,,,,4,,
Центральный округ,Москва,Развлечения в Москве,,,,5,,
Центральный округ,Москва,Развлечения в Москве,,,555elenap2016,5,Замечательный памятник замечательной женщине! Родина должна знать своих героев и бережно хранить память о них. Представленный образ памятника полностью соответствует реальному образу героини и эпохе времени.,Опубликовано 9 ноября 2016 г.
Центральный округ,Москва,Развлечения в Москве,,,Alll888,4,"Памятник Валентине Гризодубовой находится на Кутузовском проспекте недалеко от метро Кутузовская, сразу после третьего транспортного кольца, если ехать из центра в область. Он расположен около здания, прямо перед фасадом, Научно-исследовательского института приборостроения, в котором Валентина Степановна Гризодубова проработала 38 лет. Беспосадочный перелет Москва - Дальний Восток в 1938 году осуществил летный экипаж в составе Валентины Гризодубовой, Марины Расковой, Полины Осипенко. Валентина Степановна Гризодубова была одной из трех женщин, которым первым были присвоены звания Героя Советского Союза. Интересный факт - во время Великой Отечественной войны Гризодубова была единственной женщиной летчицей, которая командовала мужским авиационным полком.
Памятник был установлен в день города в 2000 году. Кстати, похожий памятник Полине Осипенко находится на площади перед ж/д вокзалом города Бердянска. Обе легендарные летчицы, конечно же, изображены в летных комбинезонах. Героические женщины!",
Центральный округ,Москва,Развлечения в Москве,,,Anutochka447799,4,"Валентина Степановна Гризодубова была советской летчицей во времена Великой Отечественной войны, полковником ВВС. За свою храбрость была удостоена звания Героя Советского союза. Памятник располагается на Кутузовском проспекте.",
Центральный округ,Москва,Развлечения в Москве,,,Marina,5,"Валентина Степановна Гризодубова - незаурядная и отважная лётчица, первая из советских женщин удостоена звания Героя Советского Союза. 24 - 25 сентября 1938 года на самолёте ""Родина"", командир В.С. Гризодубова, 2-й пилот - П. Д. Осипенко, штурман - М. М. Раскова совершили беспосадочный перелёт из Москвы на Дальний Восток, установив мировой женский авиационный рекорд дальности полёта (за 26 часов 29 минут было преодолено расстояние в 6450 км ).",
Центральный округ,Москва,Развлечения в Москве,,,Talant2007,5,"Памятник летчице, Герою Советского Союза, Герою Социалистического Труда Валентине Гризодубовой (1909-1993) был установлен в Москве в 2000г. Гризодубовой принадлежит 5 мировых рекордов, в том числе перелёт из Москвы на Дальний восток за 26ч.",
Центральный округ,Москва,Развлечения в Москве,,,darovs,5,"Памятник героине-летчице Валентине Степановне Гризодубовой установлен на Кутузовском проспекте. Я часто проезжаю мимо него, и мне этот памятник очень нравится. Знаменитая летчица изображена в летном комбинезоне, что довольно непривычно для скульптурного воплощения женщины. Недавно специально подошла к памятнику поближе, рассмотрела все детали, понаблюдала за окружающими. Народ проходит мимо, кто-то подходит и читает надпись на памятнике, кто-то очевидно узнает героиню, кто-то интересуется, кто это. Памятник потому так и называется - для памяти, чтоб не забывали.",
Центральный округ,Москва,Развлечения в Москве,,,novoskol,4,"Валентина Гризодубова - первая женщина, удостоенная звания Героя Советского Союза, Герой Социалистического Труда. Такие звания просто так не давали. Памятник будет полезен молодежи, чтобы не забывали героев прошлого.",Опубликовано 2 сентября 2015 г.
Центральный округ,Москва,Развлечения в Москве,,,smolkin,5,"Памятник легендарной женщине, крылатой ""Терешковой"". Командир корабля женского экипажа дальней авиации, герой войны и всевозможных наград. Зависть американским суфрожисткам! Памятник видимо отражает реальные черты личности, но мне показался не очень грациозным. Всё же была женщиной:)",Опубликовано 2 ноября 2015 г.
Центральный округ,Москва,Развлечения в Москве,,,Виктория Т,5,"Я часто бываю на Кутузовском проспекте и вижу этот памятник, расположенный у входа в Московский научно-исследовательский институт приборостроения, где долгое время после войны работала Гризодубова. Валенитина Гризодубова, военная летчица, герой Великой Отечественной Войны, удостоенная звания Героя Советского Союза и Героя Социалистического Труда, несомненно достойна того, чтобы оставаться в памяти людской. Таких героев нужно помнить!",
Центральный округ,Москва,Развлечения в Москве,,,𝓝𝓪𝓽𝔂 ® 👑,5,"Памятник открыт в 2000 году. В. Гризодубова дочь русского авиаконструктора и изобретателя С. Гризодубова. В 2,5 года она поднялась в небо на отцовском аэроплане привязанная к отцу ремнями, а в 14 лет совершила свой первый полёт на планёре. В. Гризодубова лично установила пять мировых рекордов.",
