zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,2102olga,5,"Старейший музей Амурской области. Богатейшие фонды. Вся история области и города собрана здесь. Экспозиции периодически меняются, что дает возможность постоянно расширять свой кругозор. Довольно часто проходят тематические выставки.
Музей находится в историческом центре Благовещенска, поэтому добраться сюда можно из любого конца города.
Рекомендую музей как гостям города так и его жителям. Интересно будет каждому!",Опубликовано 18 ноября 2015 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,22Tommot,4,"Понравилось! Билеты совсем не дорогие, но увидеть можно много интересного. В холле продают красивые магнитики и открытки. Больше всего понравилось экспозиция с животными. Рекомендую посетить с детьми!",Опубликовано 14 января 2014 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,505svetlana,5,С удовольствием познакомилась с историей и природой Амурской области. Очень хорошо техничесу оснащен.,Опубликовано 5 августа 2015 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Alexey G,5,"Каждый краеведческий музей в любом нашем городе прекрасен и посещать такие музеи-одно удовольствие. Да, музеи похожи, да немного наивны, но в этом и их шарм. Живность и рыбы, которые живут в крае, результаты раскопок и старинная утварь, покорение края и его первооткрыватели, ранее советское время , отечественная война и современность. Такая хронология практически в каждом краеведческом музее.",
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Alina G,4,"Интересная экспозиция и выставки. Опытные экскурсоводы достаточно полно излагают материал. Также побывала на вечернем мероприятии ""Ночь искусств"", всё понравилось.
Из минусов: чучела старые, такое ощущение, что вот-вот упадут; очень хотелось бы небольшой буфет или хотя бы кофейный автомат; также неплохо было бы сделать вай-фай - в некоторых залах висят QR-коды, но не все пользуются мобильным интернетом; еще не помешают надписи на английском языке.
В целом очень даже неплохо. Рекомендую заказать экскурсию с экскурсоводом.",
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Andrey2162,5,"Оценил на 5 баллов. В нашем городе это лучший музей. Я помню старый музей в здании где сейчас ЗАГС. Расширение территории использовали на на 150%. Просторные залы, интересные композиции. Раньше ходил школьником, зате с женой. Сейчас вожу внучку с удовольствием. Дети больше любят экспозиции с животными. Помню сын спросил, почему волк не ест косулю. Отвечаю что ждет когда уйдем. Сын спрятался за углом и ждал когда волк ее съест. Настолько хорошо сделаны чучела. Второй этаж интересен своими экспозициями. Внучке очень понравилась выставка бабочек и возможность их сразу нарисовать. Рекомендую к посещению гостей города и жителей города.",Опубликовано 3 сентября 2015 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Arinochkina,5,"Сводите детей в музей.Там прекрасные экспозиции об истории освоения этого края, о быте людей, живших здесь задолго до нас, о животных и растениях Амурской области.",Опубликовано 22 июня 2015 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Avin73,5,"Хороший музей, интересные гиды. Небольшие залы, одноуровневый. Много чучел, притом изготовленных 100 лет назад. Имеются чучела достаточно редких животных: например, бурового зайца, обитавшего только в этих краях. Интересен метеорит металлический, очень эффектно выглядит. Посетите обязательно.",Опубликовано 20 июня 2014 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Baili789,5,Интересный симбиоз современных технологий с экспонатами вековой давности. Мастер-классы выходного дня для детей - отличное решение и альтернатива планшету.,Опубликовано 10 октября 2014 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Chelmon R,5,"Музей - это то место, где встречаются эпохи!
Иногда считается, что исторические и историко-краеведческие экспонаты музеев — всего лишь собрание предметов, чьё время ушло и которые уже не нужны. Тем не менее, они имеют важные социальные функции.",Опубликовано 21 апреля 2019 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Darenka_BLG,4,"Музей находится в здании бывшего торгового дома Кунст и Альберс. Прекрасный образец дореволюционной архитектуры, благодаря отличной планировки здания залы музея очень просторные и воздушные. Набор экспозиций стандартный для любого краеведческого музея: природа края, история края, современное искусство. Экспозиции хорошие, подробные, интересные. Рекомендую:)",
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,DayTrip42285869973,5,"Благовещенский краеведческий музей , по моему мнению, один из самых лучших в России.На Дальнем Востоке, пожалуй, будет вторым после хабаровского.И что мне очень нравится, так это то, что не стоит на месте, постоянно меняются экспозиции. Поэтому бываю в музее часто, все хочется посмотреть. Гостям нашего города рекомендую посетить, не пожалеете.А благовещенцам вообще стыдно туда не ходить. Не пожалейте времени, возьмите своих детей и сходите хотя бы раз в год! И вы узнаете очень много нового для себя.",Опубликовано 31 октября 2018 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Denis s,4,"Входные билеты не дорогие, зато те эмоции которые получаешь от экскурсии велики. Очень интересные экспонаты, руководители групп очень интересно и захватывающе рассказывают, проникаясь видно душой.",Опубликовано 12 февраля 2014 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Diana,5,"Музей достойный своего названия. Персонал вежливый, доброжелательный. Я хотела узнать историю Благовещенска и Амурской области и вполне смогла это сделать благодаря этому музею.",
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Dmitry_V_E,5,"Много композиций, думали быстро познакомится,а оказалось что несколько часов пролетели незаметно. Есть элементы современной подачи материала в виде электронных гаджетов.",Опубликовано 23 января 2018 г.
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Horse91dancer,4,"Он находится в очень красивом здании. Это начинает вниз по лестнице с реликвий Каменного века и Железного века, затем работает через целую вечность. Мне бы хотелось, что некоторые обалденные были не на английском языке. Есть несколько очень интересных статей, хорошо представленных и изложенных, хотелось бы узнать больше. Тем не менее, я был бы рад вернуться и погулять. Стоит посетить.",Перевод: PROMT
Дальневосточный округ,Амурская область,Благовещенск,Развлечения в Благовещенске,Амурский областной краеведческий музей им. Г.С. Новикова-Даурского,Irina V,5,Не была тут лет 20-ть. Очень интересно было посетить музей спустя столько времени. Экспозиция на первом этаже практически не изменилась.,Опубликовано 10 сентября 2015 г.
