zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Камчатский край,Петропавловск-Камчатский,Развлечения в Петропавловске-Камчатском,Памятник Витусу Берингу,123456789288,5,"Памятник прославленному мореплавателю и открывателю земель камчатских. Построен на пожертвования морских офицеров. Напоминает ствол морского лафета устремленного ввысь,на котором расположен бюст Беринга.",Опубликовано 22 августа 2017 г.
Дальневосточный округ,Камчатский край,Петропавловск-Камчатский,Развлечения в Петропавловске-Камчатском,Памятник Витусу Берингу,955mila,4,Памятник Витусу Берингу построен в честь основателя Петропавловска-Камчатского. Это один из самых старых памятников на Дальнем востоке. Памятник как памятник.,Опубликовано 9 октября 2014 г.
Дальневосточный округ,Камчатский край,Петропавловск-Камчатский,Развлечения в Петропавловске-Камчатском,Памятник Витусу Берингу,Alexei N,5,"Скромный памятник Великому человеку! Датчанину, так много сделавшему для России. Памятник посещался с экскурсией.",
Дальневосточный округ,Камчатский край,Петропавловск-Камчатский,Развлечения в Петропавловске-Камчатском,Памятник Витусу Берингу,Alexey G,5,"Примечательно, закончил кадетский корпус в Амстердаме, а поступил на службу в российский флот. Принял участие в турецкой кампании. Крестным отцом Беринга-исследователя стоит считать Петра I. Беринг искал побережье Северной Америки неподалёку от Камчатки, дошёл аж до Курил, но Америку не нашёл. Провёл целую серию экспедиций и внёс неоценимый вклад в исследования Дальнего Востока и Камчатки. Его именем назван пролив поезду Чукоткой и Аляской. Долго спорили, но заслуги его оценили.",Опубликовано 29 сентября 2018 г.
Дальневосточный округ,Камчатский край,Петропавловск-Камчатский,Развлечения в Петропавловске-Камчатском,Памятник Витусу Берингу,AnShell,5,"Памятник расположен между улицами Советской и Ленинской, рядом со зданием Краевого суда. Рядом расположено еще несколько памятников, удобно все посмотреть за один раз.",Опубликовано 19 октября 2015 г.
Дальневосточный округ,Камчатский край,Петропавловск-Камчатский,Развлечения в Петропавловске-Камчатском,Памятник Витусу Берингу,Andrew M,4,"Памятник Витус Берингу был установлен в 1826 году. Это самый старый памятник в ППК. Он посвящен основателю ППК. Витус Беринг прибыл в Авачинский залив в 1740 году. Он назвал район Петропавловск, после его кораблей, улицы. Питер и улица. Павел. Беринг был на самом деле датским и работал в правительстве России. Он исследовал и задокументировал многие регионы с дальневосточного побережья Азии и западного побережья Соединенных Штатов. Берингов пролив назван в честь него. Беринг следовал маршруту, который был задокументирован Семеном Дежневым, который имеет статую в Якутске. Дежнев был неграмотным, и его претензии не получили большого признания. Беринг умер во время изучения Алеутских и Командорских островов в 1741 году.

Монумент может быть достигнут либо с Советской, либо с Ленинской улицы, как в небольшом парке между улицами. мы подошли к памятнику, пройдя несколько шагов до парка с Советской улицы. Памятник находился в самом дальнем правом углу парка. Памятник окрашен в черный цвет с несколькими областями в золоте. Памятник ок. 2 метра в высоту, в форме мачты, и увенчана золотой пластиной, в которой покоится земной шар. кажется, что земной шар представляет Землю. В основе скульптуры лежит мемориальная доска с годом Беринга, прибывающего в Авачинский залив, и написана на русском языке: «Моряку Берингу, основателю Петропавловска в 1740 году». Памятник окружен черными перилами.

Справа от памятника на стене расположены две таблички. Первая доска имеет круглую форму и имеет карту Дальневосточной Сибири и Аляски. Годы 1741 - 1991 гг. Показаны ниже и представляют собой 250 лет сотрудничества. Другая доска имеет прямоугольную форму и имеет карту той же области, но с протянутыми руками от Аляски и ППК и встречается в рукопожатии. Если вы спуститесь по ступеням к дороге, появится металлическая огороженная зона с развевающимися цветочными ящиками. это отличная территория для съемки фотографий, когда река течет под лестницами, а дорога дорога живописна. Есть несколько скамеек и ступеней, на которых можно сидеть, где можно услышать звук реки, глядя на цветы в парке. Будь предупрежден, что, приближаясь к памятнику с Ленинской улицы, есть много крутых перелетов ступеней, чтобы подняться. Этот район доступен круглосуточно и бесплатно. Фотографии могут быть сделаны.",
Дальневосточный округ,Камчатский край,Петропавловск-Камчатский,Развлечения в Петропавловске-Камчатском,Памятник Витусу Берингу,Bev M,5,"У нашего гида также были карты того, куда путешествовал Беринг, а также другие памятники французскому исследователю Лаперуза и британскому Клерку, второму командующему Джеймсу Куку. Он продолжал командовать после кончины Кука на Гавайях, но погиб в Камчатском крае. Так много великих исследователей, о которых мы узнали за эти годы, но не так много времени в этих местах.",
Дальневосточный округ,Камчатский край,Петропавловск-Камчатский,Развлечения в Петропавловске-Камчатском,Памятник Витусу Берингу,Eduard_273,5,"Ученые считают, что памятник был изготовлен в Санкт-Петербурге и является самым старым памятником, установленном на Камчатке. Памятник Витусу Берингу расположен в центральной части Петропавловска-Камчатского. Памятник находится на постаменте и представляет собой двухметровую металлическую колону, на конце которой находится капитель. Также, памятник украшен цветками лотоса. Памятник установлен в честь основателя Петропавловска-Камчатского Витуса Беринга. К слову, Витус Беринг скончался в 1742 году на необитаемом острове в Тихом Океане. На сегодняшний день этот остров называется в честь великого мореплавателя. Памятник был отлит и установлен на пожертвования морских офицеров. Памятник Витусу Берингу впервые был упомянут Фредериком Бичи, который в 1827 году посетил порт. Памятник находится в небольшом зеленом сквере. К памятнику Витуса Беринга ведет широкая дорожка, которая покрыта гравием. После своей установки памятник несколько раз менял место своего нахождения. На улице Ленинской памятник находится и готов для посещения с 16 октября 1945 года.",Опубликовано 9 сентября 2014 г.
Дальневосточный округ,Камчатский край,Петропавловск-Камчатский,Развлечения в Петропавловске-Камчатском,Памятник Витусу Берингу,Konstancio,5,"Вообщем то непримечательный памятник, просто Стелла. Но после историй про Беринга услышанных в краеведческом музее захотелось обязательно посетить это место.",
Дальневосточный округ,Камчатский край,Петропавловск-Камчатский,Развлечения в Петропавловске-Камчатском,Памятник Витусу Берингу,Maire M,3,"Этот памятник расположен до 2 комплектов рушившихся мраморных ступеней.
Это важно исторически, но id остро нуждается в ремонте.",
