zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Хабаровский Краевой Музей Имени Н.И. Гродекова,123443215789,5,"Понравилось всё,больше всего то,что многе можно потрогать руками.Например-халат из рыбьей кожи.А если вы подниметись в панорамный зал,то перед вами предстанет поле боя.Идёт борьба за Волочаевку,помните песню,про волочаевские дни?Так вот-это та самая битва.Много холодного оружия с самых первых времён,когда люди научились ковать железо.",Опубликовано 9 июля 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Хабаровский Краевой Музей Имени Н.И. Гродекова,147312,5,"современный музей и в тоже время старинный очень много уникального собрана большая коллекция животных интересные композиции, Волочаевская панорама",Опубликовано 7 августа 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Хабаровский Краевой Музей Имени Н.И. Гродекова,184ANNASUN,5,"Были приятно удивлены, добавлено много новых экспозиций, много иностранных посетителей. Спасибо музею, что развивается и проводит много интересных выставок и мероприятий.",Опубликовано 25 октября 2017 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Хабаровский Краевой Музей Имени Н.И. Гродекова,2015224,5,"Я люблю посещать наш краеведческий музей.Просто побродить по многочисленным залам замечательного музея,каждый раз открывая для себя что-то новое...Музей находится в красивейшем историческом месте,рядом с Утесом и восстановленным памятником Н,Н,Муравьеву-Амурскому.Чтобы познакомиться со всей экспозицией музея нужно,как минимум 2-3 часа...",Опубликовано 9 июля 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Хабаровский Краевой Музей Имени Н.И. Гродекова,550_650,5,"Любимый музей для посещения семьей. Дети всегда в восторге, особенно от чучела мамонта. Коллекция камней также, вызывает бурный восторг. А постоянные мастер-классы для детей, это вообще находка для родителей и детей. Рекомендую посещать всем семьям!!",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Хабаровский Краевой Музей Имени Н.И. Гродекова,64562864,4,"Музей включает в себя с десяток залов, расположенных в двух зданиях. Билет оплачивается сразу за все. Устроен как и все другие краеведческие музеи - камни и природа, звери и птицы, люди в древних времен и современные, предметы обихода разных времен. Достаточно познавательно, однако на мой взгляд мало уделено вниманию ""дороссийскому"" периоду, когда в этих землях обитали разные племена кочевников и то же как-то жили....",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Хабаровский Краевой Музей Имени Н.И. Гродекова,A B,5,"Улица Шевченко, на которой расположен музей, является одной из старейших и интересных улиц Хабаровска. Практически каждое здание это исторический памятник. Даже есть дом в котором останавливался А. П. Чехов во время своей поездки на Сахалин. Краеведческий музей состоит из трех зданий, образуя гармоничный ансамбль, который украшает и улицу и парк. Первое здание было построено еще до революции, и является ярким представителем архитектуры того времени. В 70-х годах ХХ века было пристроено второе здание, в котором основное место занимает панорама боя при Волочаевке во время гражданской войны. Третье здание было построено уже в начале ХХI века. Вокруг музея открытая экспозиция из старинных пушек. Также на обозрение выставлен трактор 20-х годов прошлого века. Это тот ""железный конь, который пришёл на смену крестьянской лошадке"". В остеклённой витрине сменная экспозиция из архивных фотографий и плакатов. Также в остеклённом павильоне выставлен скелет кита финвала, который раньше находился под деревянным навесом и подвергался разрушению. Что касается экспозиций самого музея, то в нём представлены все виды флоры и фауны Дальнего востока. Исторические залы представляют и время освоения дальневосточных земель, и период не столь далекой истории. Обширно представлена экспозиция, посвящённая коренным народностям. В новом здании организован детский зал. где регулярно проходят меропиятия для маленьких посетителей. Описывать экспозиции нет смысла, - лучше посмотреть самому. Скажу только одно, - каждый найдёт для себя что-то интересное. Даже проживая в Хабаровске, периодически посещаем музей, так как и экспозиции обновляются, да на старые экспонаты любопытно посмотреть по прошествии времени.",Опубликовано 9 июля 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Хабаровский Краевой Музей Имени Н.И. Гродекова,A I,5,"Приехав на рыбалку, посвятили пару дней осмотру города. Посетили музей, оба корпуса. В целом понравилось, разнообразные экспозиции.",Опубликовано 1 октября 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Хабаровский Краевой Музей Имени Н.И. Гродекова,Ailata,5,"Много разных коллекций - для каждого найдется что-то интересное. Существенно расширилась экспозиция. Красивое здание. Прекрасное место для посещения гостями города, в т.ч. иностранцами.",Опубликовано 23 февраля 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Хабаровский Краевой Музей Имени Н.И. Гродекова,Albert B,4,"Были семьей, музей понравился. Есть даже комнаты и игровые площадки для очень маленьких посетителей. Будете в Хабаровске, обязательно посетите!",Опубликовано 25 декабря 2016 г.
