zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Геологический музей,AvdeevaMarina,5,"Геологический музей г.Хабаровска ещё в 2008 году переехал из этого исторического здания по ул.Ленина 15, в музей им. Н.И. Гродекова. Таким образом, информация, представленная здесь, не соответствует действительности. В указанном здании располагается какое-то госучреждение, а уникальную геологическую коллекцию можно увидеть в составе экспозиции краевого музея по адресу - Тургенева, 86. Кроме геологических, там значительное число археологических, этнографических и других культурных экспонатов. Приходите, не пожалеете!",Опубликовано 12 января 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Геологический музей,SVB89825,3,"Геологический музей небольшой, коллекция также не очень богатая, хотя для людей, увлекающихся, наверное, представляет интерес. Лично на меня коллекция минералов не произвела особого впечатления.",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Геологический музей,Sedr123,3,Очень интересен для геологов и людей тех специальностей. Небольшой но очень хорошо обставленный. Очень понравилось,Опубликовано 30 июня 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Геологический музей,Zolarisa,1,"Давно нет в нашем городе геологического музея. Его отобрали в 2008 году из-за красивого здания себе краевые власти (губернатором был Ишаев В.И.) под какую-то контору (((((. Небольшая экспозиция уникальной коллекции ютится теперь в уголке в краеведческом музее. В городе также нет несколько лет и археологического музея, работает только детская выставка.",Опубликовано 24 апреля 2019 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Геологический музей,irina_legenda,4,"Как и у археологического музея у этого - замечательная архитектура и обустройство территории. Знаю, что там солраны уникальные экспонаты и на это стоит посмотреть.",Опубликовано 9 февраля 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Геологический музей,sakril,4,"Летом 2013 заходили с ребенком (5 лет) в геологический музей Хабаровска. Экспозиция нам понравилась, было интересно, ребенок с удовольствием рассматривал минералы, смотрел картинки, задавал много вопросов. Мне самой тоже было интересно. Тем более, что геология изучала очень давно, много успела забыть. Задавали вопросы сотрудникам музея, нам охотно и распространенно отвечали, приводили примеры. Не понравилось, что музей очень небольшой и подборка экспонатов хоть и интересная, но не слишком большая.",Опубликовано 9 февраля 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Геологический музей,Денис Д,5,"Раньше очень часто ходили в этот музей,там было очень интересного,много полезной информации по всяким минералам получили,также в коллекции имелся лунный камень)жаль что музей закрыли(((",Опубликовано 30 сентября 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Геологический музей,Дмитрий Ч,5,"Основу музея составляют коллекции горных пород, минералов, полезных ископаемых и окаменелых остатков флоры и фауны. В отделении ""Общие геологические процессы"" выставлены крупицы лунного грунта, доставленного на Землю.",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Геологический музей,Карина М,4,"Самого музея давно уже нет, здание реконструировали и передали администрации города, а вся его коллекция передана краевому музею Гродекова. Ранее музей содержал интересную коллекцию минералов, камней, горных пород, полезных ископаемых, а так же были представлены образцы лунного грунта. очень жаль, был хороший музей.",Опубликовано 25 апреля 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Геологический музей,Стэнли,2,"очень мало экспонатов, тесное помещение. Персонал хороший, не спорю, но музей надо бы увеличить. Для Хабаровска стыдно иметь так мало музеев, тем более в таком состоянии.",Опубликовано 9 февраля 2014 г.
