zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Военно-исторический музей Краснознаменного Дальневосточного военного округа,64562864,4,"Видать нарвались на хорошее настроение работниц музея, т.к. музей принимает посетителей группами, а нас в будний день всего лишь двое (!). С другой стороны тоже группа :) , для которой нам открыли залы, провели по стандартному маршруту и даже рассказали об истории армий, воевавших в здешних краях и не только. Все понятно и не утомительно.",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Военно-исторический музей Краснознаменного Дальневосточного военного округа,926Dmitry,4,"Всегда нравиться посещать музеи воинской славы. Когда бываю в командировках, если есть время, всегда захожу. Величие наше в воинских заслугах наших предков. Всем советую.",Опубликовано 18 февраля 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Военно-исторический музей Краснознаменного Дальневосточного военного округа,Evgeny032,4,"Был с двумя сыновьями, для мальчишек очень интересно. Возможность прикоснуться к технике, полазить по башням, узнать много нового о наших защитниках. Познавательно!",Опубликовано 4 марта 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Военно-исторический музей Краснознаменного Дальневосточного военного округа,LoNiUr,5,"Я как военнослужащий не мог пройти мимо этого музея, очень интересный и информативный, понравилась экспозиция, посвященная истории появления Дальневосточного округа и экспозиция, посвященная Гражданской войне, подвигу Сергея Лазо. Очень интересные экземпляры военной техники во дворе. Посетите этот музей обязательно.",Опубликовано 24 октября 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Военно-исторический музей Краснознаменного Дальневосточного военного округа,London021,2,"Мы устроили здесь надежду посетить (видели его на TripAdvisor). К сожалению, несмотря на то, чтобы быть открытыми и и играет 4 персоналом нам не разрешили войти, так как вы должны попросить визит заранее, и они только один раз группы! Нас спросили, есть ли мы Западной группой, которая забронировала на 10 утра, но и не принесли (это было 4 часа спустя), но, к сожалению, мы не были и не имели разрешения!",Перевод: PROMT
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Военно-исторический музей Краснознаменного Дальневосточного военного округа,Margarita616,5,"Бывала там на 9 мая. Внутри так все скромненько, зато много настоящих исторических экспонатов. Самое интересное на заднем дворе - куча настоящих танков! Причем, не просто посмотреть можно, а даже облазить, потрогать. Со мной было много знакомых с семьями, дети были в восторге, но еще больше понравилось папам, они были похожи на мальчишек, вспомнивших, как в детстве играли в войнушку, мечтая быть героями.",Опубликовано 10 июня 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Военно-исторический музей Краснознаменного Дальневосточного военного округа,Marina M,5,"Замечательный музей с экспозиционными залами и открытой площадкой с военной техникой. В залах можно ознакомиться с периодом освоения Дальнего Востока, революционными событиями и гражданской войной, конечно событиями периода Второй Мировой войны. Единственное неудобство в настоящее время - нужно предварительно записываться для посещения музея.",Опубликовано 29 апреля 2017 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Военно-исторический музей Краснознаменного Дальневосточного военного округа,MoroshkaU,4,"Музей понравился. Средств, видимо, не хватает - ни в одном зале нам не встретился смотритель, везде ходили сами.
Хотя, можно и самим посетителям все посмотреть и почитать.
Экспонаты интересные, и детям тут есть что показать. Кроме всего прочего, во дворе музея выставлена настоящая военная техника - везде можно залезть и все посмотреть ))
Расстроило то, что многие экспонаты находятся без охраны - провода сигнализации оборваны, это удручает...",Опубликовано 12 мая 2017 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Военно-исторический музей Краснознаменного Дальневосточного военного округа,Nigula2016,5,"Музей замечательный, перед ним можно сфотографироваться с пушками. Внутри интересная экспозиция. Рекомендую взять экскурсовода.",Опубликовано 6 июня 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Военно-исторический музей Краснознаменного Дальневосточного военного округа,Olga_KHV,5,"Я ездил туда с моими двумя детьми, и у них был по полной! Мы были единственными постояльцами. Впечатляющий коллекция танков и других транспортных удобств, которые на самом деле могли коснуться мои мальчики. Очень недооцененная достопримечательность.Сотрудник в кассовом аппарате был очень хорошим!",Перевод: PROMT
