zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",1234102014,5,"Про помещение ничего не знаю - не была. Сейчас театр 3 дня дает 3 разных спектакля в нашем медвежьем углу - городе Амурске. После 1 акта в первый день набрала билетов на все последующие себе и семье. То, зачем я смотрю спектакли - это эмоциональное потрясение, и оно есть! Ничего не знала об этом театре, и, собственно, за катарсисом обращаться в театры ДВ как-то не приходило в голову, есть любимые театры и актеры в Москве и Петербурге. Теперь я знаю, куда меня потянет в Хабаровске! Не мое дело рассуждать на тему, что притянуто за уши в постановках, а что страшно здорово получилось, думаю, актерам это итак видно. Я просто благодарна этим людям за их талант! Потрясла старушка-мать (Людмила Селезнева) в пьесе по рассказам Шукшина, а уж Авиатор и Дворник (Илья Ли и Василий Мухин) в ""Дворюгах""... забыть невозможно... Сейчас я испытываю физическую боль за полупустой зал в этих гастролях, минус администратору, и не продавайте свои билеты так дешево, как видите, к массовости это не привело. Люблю вас уже!",Опубликовано 14 ноября 2018 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",15031960,5,"Театр пантомимы есть не в каждом городе, а вот в Хабаровске есть. Уютный маленький зал, по- домашнему. Сцена рядом с каждым сидящем. Артисты играют замечательно.Спектакли своеобразные, призывают к размышлению.",Опубликовано 19 ноября 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",Aleksandr S,5,"Во время пребывания в Хабаровске, мы с сыном-подростком впервые посетили этот театр. Визит в ""Триаду"" поднял нам настроение, осталось очень хорошее воспоминание, это уникальный театр для Дальнего Востока. Необычное начинается с обстановки: вы сидите на ступеньках по традициям классических древнегреческих театров, зал маленький, сцена близко расположена к зрителям. Спектакль - череда клоунских номеров очень высокого уровня, без слов передаются все эмоции. Отличный вариант для проведения вечера и получения новых впечатлений.",Опубликовано 4 октября 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",Dmitry L,4,"Решил посетить на досуге. Симпатично.
Небольшой ""домашний"" театр. Ничего сверхъестественного, однако некоторые постановки могут быть заслуживающими внимания",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",Illyminat,3,"4 января ходили на детский спектакль ""По щучьему велению"" я с супругой, её мамой и нашей дочкой. Приобретали соответственно 3 взрослых и 1 детский билет. Спросили по местам, ответили - ""Садитесь по мере заполнения куда хотите"". В итоге в зале было намного больше людей, чем мест. К нам периодически подходили и просили подняться, так как им администрация сказала, что садиться на первые три ряда должны дети. В общем какая-то неразбериха, которая привела к пустым конфликтам между родителями. Организации нет. Жаль. А спектакль был хорошим. Если бы не организация, то всем советовал бы сходить с детьми. Программа очень хорошая. Но увы.",Опубликовано 3 января 2018 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",SVB89825,5,"В Триаде был на ""Романс о влюбленных"". Очень понравилась близость к актёрам. Такое чувство, что находишься в центре действия. Очень необычный и своеобразный театр.",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",Vaiker,5,"Театр по себе очень самобытный, первый раз был еще в детстве с родителями, как раз на открытии показывали знаменитое ""О, блин-шоу"". Оставило наипрекраснейшие впечатления, после этого был еще несколько раз, запомнились - ""Дворюги"" и оригинальная постановка театра - ""Старик и море"". Сцена и сам зал небольшие и представляют собой некий крытый амфитеатр. Действо проходит в том числе в зале, да так рядом что невольно чувствуешь себя не просто зрителем. Хороший театр, и побольше им новых постановок.",Опубликовано 28 сентября 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",Victor-Siberia,5,"Гостили в Хабаровске, выдался момент и мы сходили на оперу Мадам Баттерфляй. Понравилось. Прекрасная постановка, хороший звук в театре. Артисты исполняли свои роли с полной отдачей и любовью к зрителю.",Опубликовано 23 апреля 2013 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",Yujin777,5,"Уютный маленький театр пантомимы расположен в центре Хабаровска. Хороший и разнообразный репертуар, артисты-профессионалы своего дела. Можно подобрать спектакль на любой вкус и для молодых и для людей старшего поколения.",Опубликовано 9 августа 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",aleksandr_196,3,"раньше всегда стремился посетить этот театр.Было интересно,но последнее посещение расстроило.Такое ощущение,что театр не только стоит на месте ,но и ползёт обратно в своём развитии.Репертуар разный,но мне ближе -Дворюги и Блин шоу(извините,если ошибся в названии)",Опубликовано 27 февраля 2013 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",evgor,4,"Единственный в Хабаровске театр пантомимы. Кроме этого в репертуаре спектакли как драматического жанра, так и клоунады. Театр существует в этом месте с 1995 г.",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Камерный театр ""Триада""",g_tatiana30,5,"Театр пантомимы. Небольшой зал, прекрасная,не оглушающая музыка...Жизнь соседей по двору.Для любителей и понимающих этот жанр.",Опубликовано 30 декабря 2019 г.
