zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Спасо-Преображенский Кафедральный собор,184ANNASUN,4,"Храм высокий. Два зала (верхний и нижний). Вокруг площадь славы. Можно прогуляться, сделать красивые фотографии. Давно не было ремонта, это отразилось на внешнем облике.",Опубликовано 5 февраля 2018 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Спасо-Преображенский Кафедральный собор,18alla,5,"Его величие не оставит ни кого равнодушным. Прежде чем зайти в него, очень долго разглядывали, обошли со всех сторон, насладились его великолепием. Хотелось еще и еще разглядывать купола и белокаменные стены. Будете в Хабаровске, обязательно придите, не пожалеете!",Опубликовано 5 ноября 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Спасо-Преображенский Кафедральный собор,240311INNA,5,"не понравилось место расположения.шумная улица,зато внутри покой и умиротворение.очень приятная обстановка",Опубликовано 9 июля 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Спасо-Преображенский Кафедральный собор,61sophie,5,Главный кафедральный собор Хабаровска. Построен в конце прошлого века. Очень удачно расположен - рядом смотровая площадка. И сам собор виден из многих точек города. Собор является одним из самых высоких в России. Впечатляет внутреннее убранство. Прекрасно звучит церковный хор.,Опубликовано 30 июля 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Спасо-Преображенский Кафедральный собор,Albert B,5,"Спасо-Преображенский кафедральный собор уже стал визитной карточкой града Хабаровска. Это один из самых больших и красивейших соборов не только Дальнего Востока, но и России. Высота собора - около 90 м! Верхний и нижний притворы (храмы) собора поражают своими великолепными иконостасами. Не только прихожане, но и огромное количество гостей города, в том числе и иностранцев, стремится побывать здесь.",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Спасо-Преображенский Кафедральный собор,Alexanteri,5,"Синее небо, золотые купола и семинария по соседству- очень красивый вид. Перед входом милые ледяные фигуры купидонов. Рядом остановка общественного транспорта. Спуска к набережной, к сожалению нет.",Опубликовано 7 января 2015 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Спасо-Преображенский Кафедральный собор,Amen9,5,Трудно увидеть церкви... этот большой и красивый. Ходивший месса в нижней части и это было очень хорошо.,Перевод: PROMT
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Спасо-Преображенский Кафедральный собор,Anatoly B,5,"Мне пришлось в 2002 году ""калымить"" - принимать участие в качестве эл. сварщика трубопроводов холодной и горячей воды (будучи руководителем сварочной лаборатории ЗАО ""Дем-Регион""), вплоть до ""пуска в эксплуатацию"", если можно так сказать. Спасо-Преображенский кафедральный собор — православный собор в Хабаровске, возведённый на крутом берегу Амура в 2001—2004 годах. Согласно ряду источников, является третьим по высоте храмом России после Храма Христа Спасителя в Москве и Исаакиевского собора в Санкт-Петербурге. Строительство кафедрального собора в Хабаровске благословил Патриарх Московский и всея Руси Алексий II. Первый камень в основание храма был заложен в 2001 году. 16 октября 2003 года епископ Хабаровский и Приамурский Марк отслужил благодарственный молебен по завершении строительства. Златоглавый собор с пятью куполами сооружался на пожертвования жителей края, спонсорские средства предприятий и организаций.Высота куполов Преображенского собора составляет 83 метра, высота с крестами — 95 метров. Для сравнения — высота Дома радио, расположенного по соседству с храмом, чуть больше 40 метров. Храм был построен по проекту архитекторов Юрия Живетьева, Николая Прокудина и Евгения Семёнова. Фрески внутри храма (на куполе Спас-Вседержитель и апостолы) выполнила группа московских художников, специально приглашённая по этому случаю в Хабаровск епископом Хабаровским и Приамурским Марком. Спасо-Преображенский кафедральный собор в состоянии одновременно принять три тысячи прихожан. Спасо-Преображенский кафедральный собор имеет два раздельных придела, основной, с центральным входом и малый (нижний храм), находящийся под основным. Советую всем посетить храм, хотя-бы ради любопытства, - не пожалеете...",Опубликовано 7 апреля 2017 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Спасо-Преображенский Кафедральный собор,Andrey H,4,"Всегда когда нахожусь в церквях или в соборах отдыхаю душой, эти места не для развлечений,эти места навевают грусть",Опубликовано 4 августа 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Спасо-Преображенский Кафедральный собор,Andrey Y,5,"Советую побывать здесь на Пасху. Всю пасхальную неделю можно будет подняться под купола храма и позвонить в колокола. Только рассчитывайте силы - подниматься по лестнице как на крышу высотки. Но это того стоит. Сейчас (март 2016) фасад храма продолжают реставрировать после ошибок строителей. Это никак не сказывается на внутреннем убранстве храмов (верхний и нижний). Службы в верхнем храме по воскресным и праздничным дням, так что если в будние решите попасть на службу имейте ввиду.",Опубликовано 18 марта 2016 г.
