zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,184ANNASUN,4,"Сразу с минуса - очень не большой музей. Но для нашего города, оправдано. Ведь все это требует не малых затрат на содержание, а посетителей не много.
Плюсы - отзывчивые экскурсоводы. Рыбы нашего края.",Опубликовано 30 января 2018 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,Alexandra S,5,"Если оценивать музей не по размеру, а по насыщенностью информацией- то это классное место! Очень познавательно. Огромное количество рыб! Сходите и не пожалеете. Лучше, если будет экскурсия.",Опубликовано 21 февраля 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,Anastasia K,5,"Ходили с друзьями! Всё очень понравилось, даже не ожидали, что останемся в восторге. Берите экскурсию, вам очень интересно всё расскажет опытная сотрудница. Слушать её было сплошное удовольствие! Мы не просто посмотрели на рыб в аквариуме, а узнали очень многое о них.",Опубликовано 26 сентября 2019 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,Anatoly B,5,"Посещение ""Рыб Амура"" расширило мои знания о фауне и флоре Амура. За свои неполные 70-т и половил, и попробовал, и повидал. В своё время изготовил 7 аквариумов по 540 литров в которых проживали и размножались меченосцы, золотые рыбки, гуппи, скалярии, попугаи, сомы разных пород, раки озёрные, караси, пескари, гурами, жуки плавунцы, и налим от размера карандаша до полуметра, который потом оказался в ""Рыбах Амура"", переходя из рук в руки.",Опубликовано 20 февраля 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,Danil K,5,"Советую посетить музей, почему его так называют не знаю. Это музей при НИИ. Очень познаваиельный с описаниями и интересными историями от сотрудников.",Опубликовано 2 января 2018 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,Danil K,5,"ХФ ТИНРО имеет в своем распоряжение потрясающий музей рыб, отличный гид - ихтиолог, все расскажет и покажет. Музей находится на бульваре, что несомненно удобно т.к. в центре города. Билет стоит 150 - 200 рублей и неимоверное количество впечатлений))) Советую",Опубликовано 22 мая 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,Dmitry Kulikov,3,"Несколько помещений с аквариумами и описанием, что за рыбы в них живут. Ничего особенного. Музеем назван с явной натяжкой",Опубликовано 1 августа 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,DmitryShahi,5,"Прекрасные аквариумы с рыбами обитающими в Амуре. Очень понравилась гид, подробно и с любовью рассказавшая про всех обитателей аквариума. Рекомендую посетить.",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,Elena S,5,"Музей расположен очень в тихом месте и давольно неприметен (сразу и не найдёшь). Посетителей очень мало поэтому никто не мешает рассматривать рыб среди которых встречаются очень интересные экземпляры. Даже и не скажешь, что в таком ""болоте"" как Амур постоянно отравляемом выше живущими соседями с Китая обитает такая красота.",Опубликовано 28 мая 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,Evgeny032,4,"Был с детьми, понравилось! Особенно гид, он же научный сотрудник, который выложит ""на гора"" все о любой рыбе Дальнего Востока, если вы только спросите! Узнал сам очень много нового.",Опубликовано 10 сентября 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,Fotina21,3,"Здравствуйте.
Я - постоянный посетитель амурариума просто потому, что гости, регулярно наезжающие в Хабаровск жаждут посмотреть на исконных обитателей Амура не на картинке или сковороде, а живьем. Вот и вожу. Биологическое образование и долгое знакомство с образом жизни амурских насельцев позволяет вести экскурсию не хуже местных экскурсоводов, ну, а язык, как известно, не стирается... Экспозиция постоянно обновляется, как вы сами понимаете, но видовой состав ""населения"" остается более-менее постоянным. Часть аквариумов кроме воды и плавающих в ней рыб (ну и оборудования, обеспечивающего рыбам более-менее пригодные условия для существования) не содержит ничего. Часть аквариумов представляет собой искусственную имитацию природной среды обитания населяющих эти баночки организмов. На аквариумах или возле них информация о жильцах. Много графического материала с сопроводительными надписями о том что за организм изображен. Аквариумы подсвечиваются. Так что получить представление о том, кто и как живет в водах великой реки можно. Для многих, даже для тех, кто постоянно живет на амурских берегах, это бывает очень познавательно. Так что с частью ""знания в массы"" амурариум справляется. Сюда можно принести улов, если что-то попалось неведомое, и сотрудники помогут определить, что же вам попалось. Ежели Вы задумали поселить кого-то из амурских обитателей в аквариуме дома, вам дадут рекомендации о том, как содержать живность и стоит ли вообще это делать.
Зальчиков три. Чистенькие, неплохо оформленные, на разном уровне. Смотрители ненавязчивы, но охотно ответят на вопросы, если в вас таковые появится. А они появятся неизбежно, просто потому что плохо мы представляем, кто и как живет в природной среде, потому как редко кого наблюдает - нас вполне справедливо боятся, а, посему, избегают. Самый большой недостаток же в том, что часть аквариумов явно тесна обитателям. Особливо тем, кто может достичь больших размеров в природе. Ну, и рыбы растут всю жизнь...
Цены на посещение высоки, конечно ( да что сейчас дешево), но сходить полюбопытствовать стоит.",Опубликовано 23 марта 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,Рыбы Амура,Himari_211197,5,Всё понравилось! Вот только жалко что у них денег не хватает на содержание рыбок( Собраны все существующие виды рыб на ДВ.,Опубликовано 28 октября 2014 г.
