zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Зоосад ""Приамурский"" им. В.П. Сысоева",197206292017,5,"Посетила зоосад 1 сентября 2018 г. Очень красивое место для отдыха! Животные ухоженные и все аккуратно и располагает к отдыху и прогулкам! Добираться без машины, немного сложновато (114 маршрут от Автовокзала 45 минут, стоимость 40₽). Но атмосфера зоосада перекрывает эту сложность! Животные ухоженные! Воздух чистый! Можно купить свежий корм для животных ( яблоки и морковь). Вход для взрослых 250₽, для пенсионеров есть скидки! Очень много мам и пап, бабушек и дедушек приведших своих деток показать животных! Это хороший показатель! Рекомендую посетить и набраться положительных эмоций !",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Зоосад ""Приамурский"" им. В.П. Сысоева",ANNA P,3,"В зоопарке много животных. Лучше приезжать в нежаркую осеннюю погоду: вокруг очень красиво. Кого-то из животных можно покормить. Но интереснее здесь, конечно, будет детям. Взрослым может показаться скучновато. Территория не очень большая, можно обойти за полчаса-минут сорок. Не развита инфраструктура: не хватает кафе, еще каких-нибудь развлечений.. И очень неудобно парковаться в выходной день! Уезжаешь вперед к коттеджам и там бросаешь машину.",Опубликовано 26 октября 2014 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Зоосад ""Приамурский"" им. В.П. Сысоева",Alexey G,5,"На расстоянии от города, с видом на Амур. Закат при этом просто космический. А звери просто нереальные! Уссурийский тигр, уникальный, медведь, лежащий на спине, лапы к верху, рыси, лисы, волки, Изюбри с малышами! Это все просто взрывает мозг. Если он у Вас не выключен...",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Зоосад ""Приамурский"" им. В.П. Сысоева",Anna P,4,"Все хорошо, но ни одного ларька с напитками. Надеюсь летом этот вопрос решат 😬 наш зоосад понравился больше, чем в г. Алушта (Крым).",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Зоосад ""Приамурский"" им. В.П. Сысоева",DRAYOLGA,5,"Нам очень нравится посещать наш зоосад. Каждый раз когда мы туда приезжаем, мы привозим гостинцы для зверушек - для птичек семечки, для копытных - морковку, капустные кочерыжки, яблоки и хлеб. Подолгу стоим у клеток с тиграми - завораживающее зрелище! воистину царь тайги! Очень красивое и грациозное животное, которое знает свою силу и себе цену. Вообще очень полезно посещать с детьми такие вот парки со зверушками. Деть учатся общению с животными, милосердию, да и просто знакомятся с природой",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Зоосад ""Приамурский"" им. В.П. Сысоева",Daria A,3,"Была давным давно в зоосаде и впечатления были хорошие, во второй раз-разочарование. Во первых, нам не захотели продать билет для студентов,видите ли кассирше не понравился студ.билет (международная исик карта студента). Чтож...взяли обычный билет. Но было не приятно,женщина из кассы повышала голос и была груба. Сам зоосад в печальном состоянии,маленькие грязные вольеры еще и кафе в самом зоосаде, рядом с животными. Видно что зоосад не финансируют.",Опубликовано 4 октября 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Зоосад ""Приамурский"" им. В.П. Сысоева",Daria M,5,"Посещаем семьей зоосад раз-два в год уже на протяжении лет пяти, и даже после переезда на запад России, каждый приезд стараюсь туда заглянуть, проведать полюбившихся тигров, мишек, белого медведя:) в прошлом году появились очень забавные обезьяны, сейчас, кажется одна... Разнообразие животных большое, у большинства довольно комфортные вольеры, можно кормить морковкой) не такими темпами, как хотелось бы, но зоосад облагораживают, в каждый приезд то где-то дорожку проложат, то кому-то клетку новую сделают... Вообще, я считаю, это одно из лучших мест для прогулки в Хабаровске. Бесплатная парковка, напротив есть ресторан.",Опубликовано 30 мая 2016 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Зоосад ""Приамурский"" им. В.П. Сысоева",Dimakhv,5,"Очень хорошее место для прогулок с детьми. Много разных животных. Отличный белый мишка. Птицы, звери. Можно и покормить.",Опубликовано 4 декабря 2017 г.
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Зоосад ""Приамурский"" им. В.П. Сысоева",Dmitrii_KHV,5,"Как и любые зоопарки, это очень хорошее место для семейного отдыха, одно из немногих в Хабаровске. Когда видишь животных в живую, то это совсем другие ощущения, чем когда их видишь на экране. Если у Вас есть пара часов свободного времени, то непременно стоит здесь побывать!",
Дальневосточный округ,Хабаровский край,Хабаровск,Развлечения в Хабаровске,"Зоосад ""Приамурский"" им. В.П. Сысоева",ErvaTur,4,"Приезжали с дочерью в Хабаровск на 2 дня, заранее наметили поездку в этот зоосад. В целом, не пожалели, что потратили несколько часов и деньги на такси. Звери выглядят здоровыми, не жалкими, как в большинстве зоопарков страны. Видно, что за ними хороший уход. Но то, ради чего, собственно, мы приезжали в такую даль, к сожалению, не получили. Амурский тигр является символом зоосада только номильно. В вольере был только один молодой тигр, который так и не вышел из своей конуры. То есть мы поняли, что он есть, но полюбоваться им не довелось. А белого мишки вовсе не было.
Территория зоосада маленькая, зверей не так много, можно за полчаса всё посмотреть и даже покормить, кого можно. По-моему мнению, ЗАГОРДНЫЙ зоопарк, в который люди приезжают целенаправленно всей семьёй, должен предлагать большее. В том числе и для сопутствующего досуга. В Красноярске, откуда мы родом, в этом плане зоопарк очень развит. Постоянно идут какие-то программы для детей, конкурсы, работают интеррактивные площадки. В общем, есть куда развиваться!",Опубликовано 25 августа 2014 г.
