zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,19Mari91,5,Ну какая же свадьба без нашего прекрасного Троицкого собора. Это были прекрасно и незабываемо! Помню все как сейчас),Опубликовано 15 февраля 2017 г.
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,ANDREI B,5,"Раньше на этом месте был высотный долгострой, а теперь вот величественное сооружение. Завораживает и восхищает своими размерами.",Опубликовано 28 июля 2015 г.
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,Alexey G,5,"Храм начал возводить погибший губернатор области. Таким способом он точно увековечил память о себе. Действительно, далеко не в каждом нашем городе, даже миллионнике, есть такой монументальный, солидный, видный и обстоятельный собор. И расположен в центровом месте-администрация, мэр, губернатор. На месте бывшего памятника Ленину-священнослужитель. Многие уже и не помнят, что здесь был вождь пролетариата.",
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,Alla L,5,"Монументальный, красивый и очень впечатляющий. Хотя место, на мой взгляд, выбрано не очень удачно. Храм стоит в низине, а надо бы на возвышении.....",Опубликовано 10 июля 2015 г.
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,Andrew M,4,"Собор Святой Троицы высотой 71 метр и самый высокий ориентир в Магадане. Из-за существования вечной мерзлоты здания в Магадане не превышают пяти (5) историй. Собор можно увидеть практически из любой части города. Мы остановились в отеле Магадан, который был в нескольких минутах ходьбы от собора. Собор был построен в 1985 году и имеет пропускную способность ок. 2, 500 человек. Этот собор был самым высоким в дальневосточном регионе, но был узурпирован в 2004 году Спасо-Преображенским собором в Хабаровске, который составляет 96 метров в высоту.

Это был первый большой собор, в котором у нас была возможность войти в нашу поездку. Интерьер казался древним со многими святыми на дальней стене. Фрески святых и другие религиозные символы простирались от стен до потолка. Огромная люстра висела над просветом наверху, украшенным витражами и фресками. Мы смотрели, как леди подходит к секции слева от главной зоны приема, которая была темной, за исключением нескольких свечей. Поставив свою свечу, она сделала молчаливую молитву, затем вышла. Мы взяли довольно много фотографий и должны были соблюдать конфиденциальность других людей поблизости.

Сразу же напротив церкви находится популярная статуя «путешествующего» святого. Местные жители посещают святого, прежде чем совершить поездку за город. Мы получили прекрасную фотографию святой статуи с собором на заднем плане. Есть много парков и памятников на небольшом расстоянии от собора, поэтому это, вероятно, лучший район для пешеходной экскурсии по городу.",
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,Andrey K,5,"Будучи в командировке в Магадане, десять дней любовался Собором по несколько раз на дню. Очень внушительное зрелище. Собор видно отовсюду. А когда находишься с ним рядом, даже несколько эта громада подавляет.",
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,Andrey K,5,"Ещё подъезжая к Магадану по трассе издалека можно увидеть купола этого храма. Сам город даже не виден, а силуэт этого прекрасного сооружения уже различим. Гуляя по городу Магадану нет-нет да и мелькнёт между домами золото куполов этого храма. Красивый и возвышенный храм в центре города. Достойный символ столицы Колымы.",Опубликовано 14 апреля 2016 г.
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,Anna B,5,"Это самое ценное, самое святое место для магаданцев. Многие помнят, как и как долго строили Свято-Троицкий кафедральный собор. Как долго в Магадане не мог выпасть снег, даже в январе месяце, пока купола стояли не земле в ожидании своего часа подъема на самый верх. И как на следующий день, после того, как они были возведены, выпал шикарный пушистый снег! Это было ЧУДО!!!",Опубликовано 20 апреля 2016 г.
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,Biggls,3,"Гордость жителей Колымы - огромный собор в центре города, строили долго, но уже действует, идут работы по росписи и отделке внутри.",Опубликовано 17 декабря 2014 г.
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,Cees1969,5,"I 'утра не церковь, стандартная парень, но он был впечатляющимВы более чем можете посетить и прогуляться даже во время святого обслуживанияЭто место минусы отель выглядит",
Дальневосточный округ,Магаданская область,Магадан,Развлечения в Магадане,Свято-Троицкий кафедральный собор,Dmitry K,5,Величественный собор не ожидаешь такого от города населением в 10000 великолепные росписи как рассказывают местные построен на месте нанесенной девятиэтажки где было большое колличество самоубийств,Опубликовано 11 ноября 2014 г.
