zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Центральная площадь Владивостока,112DAVYDOV,4,"Центральная площадь Владивостока носит название площади Борцов революции или Борцов за власть Советов на Дальнем Востоке. Именно здесь проходят праздничные мероприятия, парады, демонстрации, концерты, ярмарки, Уже весной организаторы спортивных соревнований начинают подготовку к проведению на Центральной площади ставших популярными в последние годы массовых соревнований по уличному баскетболу Многие здания в районе Центральной площади были возведены в начале двадцатого века.
На западной стороне находится массивное здание краевой администрации, северную границу площади образует Светланская улица. В красивом здании на перекрестке Светланской и Алеутской улиц находится Государственный объединенный краеведческий музей им. В.К. Арсеньева. В квартале, который простирается от перекрестка по северной стороне Светланской улицы, есть и ряд других объектов культуры. Например, в здании старого деревянного театра находится концертный зал Приморской краевой филармонии. И почти здесь же в строении 19 века располагается Молодежный театр,
Определенно достопримечательностью Центральной площади Владивостока является проходящая прямо под ней железная дорога. Это последние километры Великой Транссибирской магистрали. Железка выходит на поверхность у здания краевой администрации. К платформам железнодорожного вокзала попадаешь от юго-западного угла площади.
На восток железнодорожные пути убегают к причалам Корабельной набережной. А далее виднеются опоры моста через бухту Золотой рог.
На и у Центральной площади Владивостока, как и на многих других центральных площадях, сегодня в избытке магазинов и мест, где можно перекусить. А вот железной дороги нет нигде. Я, во всяком случае, не припомню такой экзотики в других городах.",Опубликовано 4 мая 2014 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Центральная площадь Владивостока,2015_Elli,4,Именно с этого места нас забирал автобус в дальнюю поездку. Сначала ничего рассмотреть особо не удалось. Зато по возвращению уже от души прогулялись. Место хорошее. Виды с площади красивые. Но место не обихожено. Хотелось бы обратить на это руководство портового города.,
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Центральная площадь Владивостока,550_650,5,"Очень удобная площадь для проведения культурно-массовых мероприятий. Гостям города можно успеть послушать концерт, а потом за 10 минут дойти до железнодорожного вокзала и сесть в поезд. Удобно!",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Центральная площадь Владивостока,Aleksandr S,5,"Площадь Борцов за Власть Советов на Дальнем Востоке, как центральная площадь, в первую очередь, является местом официальных мероприятий: парады, демонстрации, митинги, новогодняя ёлка, профессиональные праздники, концерты популярных исполнителей. В выходные дни регулярно организуются продовольственные ярмарки, которые привлекают и местных жителей, и гостей города. Центральная площадь имеет небольшой размер по меркам равнинных городов, возведена на крыше спортивного манежа, построенного в 1965 году и прекрасно отражает характер города: дефицит ровных площадей, ведь город размещён на склонах крутых сопок вокруг бухты Золотой Рог и прилегающих районов. Рядом с центральной площадью находится много архитектурных достопримечательностей (большинство построено в конце девятнадцатого- начале двадцатого века), музеев, исторических мест. Отсюда открываются прекрасные виды на бухту Золотой Рог, Золотой мост, комплекс железнодорожного и морского вокзалов, особенно если в этот день пришвартована круизная принцесса. Это место обязательно для посещения туристам, пытающимся понять дух города.",Опубликовано 31 марта 2017 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Центральная площадь Владивостока,Aleksandr S,5,"Центральная площадь, или просто площадь, - популярное место для встреч горожан и для памятных фото туристов. Основная достопримечательность - Памятник Борцам за власть Советов. Это историческое место, здесь 25 октября 1922 года в России завершилась Гражданская война. В этот день соединения Красной Армии промаршировали по Алеутской улице, затем повернули на Светланскую. А накануне, за несколько часов до этого, от причалов, расположенных в сотне метров от площади, 25 кораблей кораблей Сибирской флотилии с остатками Белой Армии навсегда покинули Россию. В 2015 году на площади был установлен знак, православный крест, напоминающий об этих трагических событиях.",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Центральная площадь Владивостока,AlexanderVDK2,3,"Большая площадь. С кучей точек быстрого питания. В выходные проводятся ярмарки, приезжают частники со своей продукцией. Имеются прокат машинок для детей, пони/лошади и прочие ""прелести"". Напротив площади море бутиков, ТРЦ Центральный, кинотеатр Уссури.",Опубликовано 24 февраля 2016 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Центральная площадь Владивостока,Alexandre N,3,"Всё, что тут есть надо видеть!
Город стоит того.
От этой площади начинается всё.
Владивосток покоряет и-влюбляется в себя своей динамикой, грубоватьй простой недоПричёсанностью, открытиями, прекрасными видами..
Широкий как море, резкий как горный ветер, пьянящий как морской прибой!",Опубликовано 3 июля 2015 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Центральная площадь Владивостока,Alexey A,5,Короче не буду писать что пишут все... Мне тут нравится одно часто тут разворачивают рынок и можно полакомиться изысканностями начиная от клубники с юга Китая и заканчивая олениной вяленой )))),Опубликовано 5 июня 2015 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Центральная площадь Владивостока,Alexey G,4,"За несколько дней во Владивостоке, у меня сложилось впечатление, что куда бы я не поехал, обязательно проезжал через эту площадь. Может дороги так устроены, может особенности восприятия. Мне безусловно центральное, главно и примечательное. Здесь проводятся парады и празднуются все главные праздники.",Опубликовано 24 сентября 2017 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Центральная площадь Владивостока,Alexey K,3,"Большая широкая площадь с памятниками. Проводятся все мероприятия города. Стоит неинтересный храм-новодел.
Минут на десять.",
