zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Океанариум Аквамир,0609_2013448,5,"Ни один гость города не пропустить расположенного в самом центре города Памятника. Три скульптурные группы установлены на основной площади , носящейся одноименное с памятником название Борцам за власть Советов. Прямо от памятника вверх от площади уходит главный проспект города- Океанский. Обязательно спуститесь пешком по нему от Центрального парка до площади, почувствуйте дух города и полюбуйтесь видом блестящих вод бухты Золотой Рог , силуэтом основной группы памятника , кораблей и видом Русского острова.",Опубликовано 28 января 2014 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Океанариум Аквамир,310Natali,2,"говорили, что здесь сделали ремонт, но никакого ремонта нет, огромные проблемы с вентиляцией, в общем совершенно не стоит сюда ходить!",Опубликовано 19 августа 2015 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Океанариум Аквамир,862VIP,4,"Отличное место! Правда показалось что слишком большой, дело в том что к середине пропадает особый интерес, а идти еще много, либо я в этом не был заинтересован.. В общем узнал много нового, увидел то чего похоже нигде не увижу! Советую идти не одному, на случай если станет скучно.",Опубликовано 27 марта 2014 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Океанариум Аквамир,Aleksandr Z,3,"Посещаю его переодически когда показываю город друзьям из других городов. Для детей возможно аквариумы и интересны, а вот второй этаж скукотища для всех. За многие годы существования океанариума он тихо диградирует, но все равно интересно увидеть осетровых.",Опубликовано 28 июля 2016 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Океанариум Аквамир,Alexey A,3,Детям понравится а вот взрослым думаю может и не очень из минусов только думаю что дорогая цена ... Но зато сможете посетить музей восковых фигур тамже либо покормить карпов,Опубликовано 5 июня 2015 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Океанариум Аквамир,Alyonanek,3,"Экспозиция, в целом неплохая, два этажа, все подписано на русском языке, ходишь и смотришь все сам. площадь осмотра совсем небольшая. Вход за взрослого 300 руб, ребенок с пяти лет 150 руб. Дорого.",Опубликовано 18 марта 2015 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Океанариум Аквамир,AnonimAnonimov,3,"Всё почти не изменилось с моего детства, по прежнему бедные рыбки плавают в неудобный аквариумах, билет 350 рублей, детям - бесплатно",Опубликовано 1 августа 2016 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Океанариум Аквамир,Anton K,4,Сам по себе Владивосток удивительный город и есть достопримечательности которые необходимо посетить тем более что стоимость входного билета 250 взрослый 150 детский. Так как рядом морские возможности следовательно и разнообразие морепродуктов как и за пределами океанариуме очень большое !!! Всем удачи...,Опубликовано 3 января 2014 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Океанариум Аквамир,BOGDAN K,4,"Вход - 250 рублей. На первом этаже из интересного - крокодил, краб, ну и множество рыбок. Особенно впечатляют огроменные осётры. Отдельный аквариум со злобной пираньей. На втором этаже понравилась коллекция ракушек. Довольно хорошее впечатление от посещения.",Опубликовано 23 октября 2013 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Океанариум Аквамир,BeloeilSmith,1,"Мы проходили мимо и думали, почему нет. С первого внимания, когда вы проходите мимо деньги маленький горках и получаете сдачу, таким же образом, общее впечатление хватало любви, заботы и любви.Некоторые рыбы была явно слишком большой, был один или два мертвых и, ну, в целом, это просто не было хорошо. Даже первая достопримечательность - аллигатор, сидя в баке, не достаточно большой, чтобы втиснуть в сказке, он знает лучше, чем любой, что нужно. Закройте его, или, по крайней мере, переселите рыбу в среды обитатели, которых они заслуживают в баках, достаточно большие, чтобы положить их.Даже когда за угол мы познакомились с одного человека, не отличное, уборка ведро. Там воняло. Так почему это, когда профессиональные игра вокруг. Это имидж, которое я устраняю со мной. не рыба, но вонючий человек с волосатой грудью.",Перевод: PROMT
