zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Музей Города,Albert133,3,"В музее сейчас на так много экспонатов, как было много лет назад. Часть коллекций вывезли в Музей Арсеньева в центре, часть где-то потерялась. Из того, что осталось сегодня - можно посмотреть фотографии старого Владивостока, резные деревянные двери и металлические части старых домов, а также выставку оборудования из старых кинозалов.",Опубликовано 16 декабря 2016 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Музей Города,Fatalist-Mizant... S,5,"Музей был открыт в далеком 1890 (почти начале истории Владивостока) долгое время являлся главным городским музеем. Со временем историческая коллекция разрослась и переехала в другое здание, но старый корпус продолжает функционировать как музейно-выставочный комплекс.Выставки здесь постоянно меняются, но всегда связаны с разными гранями жизни города: определенные периоды истории, персонажи, события... Музей, в меру своих сил, пытается не ""рассказать про город"", а ""объяснить его"" - раскрыть новые грани, выявить городские мифы.
Очень интересна выставка Старый чердак, которая расположена именно в чердачном помещении! Это ж прямо из детства! Посвящена она, как раз, детству многих из нас, - СССР. Предметы сюда приносят сами жители и попутно рассказывают истории. Здесь можно зависнуть на долго: читать, крутить колесики, нажимать на кнопочки. Благо, что все, действительно, можно трогать!
Здесь проходить большое количество детских программ: квесты, ""Сказки с молоком"".",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Музей Города,Fion74,4,"В рамках ночи музеев приходили в этот музей, ночью он казался еще таинственней, к тому же в нем всегда размещают современные инсталляции, что накладывает динмичный отпечаток. В дворе музея в ночь музеев в прошлом году работали настоящие кузнецы, дети от них не отходили, Было очень интересно и познавательно.",Опубликовано 26 ноября 2014 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Музей Города,Nila L,5,"Небольшой уютный музей. Тот случай, когда использованы недорогие материалы, но в оригинальных решениях. Смотрится классно и интересно! Рекомендую к просмотру.",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Музей Города,TATIANA K,5,"Мы попали на выставку, посвященную разным годам города Владивосток. Интересные экспонаты из реальной жизни людей разных лет. Музей небольшой, он является филиалом музея Арсеньева.
Удобно расположен,практически в Адмиралтейском сквере рядом Корабельная набережная, недалеко центральная площадь, а в другой стороне набережная Цесаревича. Все рядом. Персонал музея очень добродушный, все рассказали и показали. Очень понравилось.",Опубликовано 3 августа 2015 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Музей Города,TATIANA0309,4,"Не очень большой, но качественный музей, чтобы составить представление об истории города! А история просто замечательная !",Опубликовано 26 сентября 2015 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Музей Города,Y K,5,"Обязательно посетите этот музей, находящийся в историческом здании. Очень интересная экспозиция, помогает по настоящему узнать историю города. Рекомендую!",Опубликовано 23 октября 2016 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Музей Города,art_tatianka,5,"Небольшой музей, вместивший в себя историю целого города.
На момент посещения в музее было открыто 3 выставки - две постоянные и новогодняя, которая закроется в феврале.
В музее ежедневно проводят бесплатные экскурсии несколько раз в день, на одну из них я и попала купив лишь входной билет.
Экскурсия по экспозиции Владиаостокской крепости раскрывает историю развития города почти с даты его основания и до 1920х годов.
Представлен и макет города того времени и отсылки к истории страны и много предметки. Экскурсия длится около часа, но не поленитесь на неё сходить. Приятно, что экскурсоводы рассказывают все довольно простым и понятным для далёкого от военной темы посетителя ☺️ личности, представленные в этой экспозиции вызывают только восхищение. Оказывается Нестеров, тот самый лётчик, начал подниматься в небо именно здесь!
Вторая экспозиция посвящена ритму жизни закрытого портового города. Её надо не только смотреть, но и чувствовать. Люди на 8 месяцев в году уходили от своих семей в море, а возвращаясь, привозили истории и подарки.
Выставка, посвящённая новому году будет знакома любому жителю страны и ей приятно осмотр закончить, она словно мостик от далёкого Владивостока к каждому 💌 приятно, что здесь до сих пор сохраняется ощущение праздника.",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Музей Города,olegkrylov,3,"Музей откровенно слабый и примитивный. Мало экспонатов, не выдерживается логика восприятия, словом, не стоит...",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Музей Города,yur2590,4,"Филиал краеведческого музея им.Арсеньева.
Он является одной из главных исторических выставочных площадок.
Здесь регулярно проходят выставки живописи, изделий из керамики, фотографии, минералов, историко-этнографиические выставки.
В центре реализовывается проект «Улица мастеров», который создает все необходимые условия для сохранения народных промыслов и национальных ремесел.",Опубликовано 11 марта 2015 г.
