zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Ботанический сад-институт,,1,,
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Ботанический сад-институт,,2,,
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Ботанический сад-институт,,3,,
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Ботанический сад-институт,,5,,
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Ботанический сад-институт,Aleksandr S,5,"Ботанический сад-институт интересно посещать в разные времена года. В рабочий день в июле в пасмурную погоду было пустынно. Нам обстановка пустоты и тишина прекрасно подошла, ведь мы пришли просто насладиться красотой цветов, кустарников, деревьев.",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Ботанический сад-институт,Maryzhо,5,"Поекрасное место для пеших прогулок ,в октябре очень красиво цвет кленов вдохновляет .
Побольше бы в городе таких мест где можно просто погулять и получить удовольствие",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Ботанический сад-институт,Victor S,4,"Красивый сад с различными зонами, в которых представлены растения Дальнего Востока. Замечательный розарий. Прудики с лотосами и черепашками. Расположен далековато от центра и немного запущен. Есть экологическая тропа по участку настоящего приморского леса, где можно встретить грибы и чёрную белку.",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Ботанический сад-институт,mnr2001,5,"В ботаническом саду мы с удовольствием провели два часа (а можно было бы и больше!). Обширная коллекция дальневосточных деревьев и кустарников, цветущие розы, хризантемы и лилии, живописные аллеи и тропинки, скамейки для отдыха и даже экологическая тропа — всё к вашим услугам. Посещение платное, но не дорогое, нормальный билет стоит 200 рублей, для детей и пенсионеров — 50 рублей. Приходите и отдыхайте!",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Ботанический сад-институт,Алёна Я,5,"Были в начале ноября, конечно, уже поздновато - почти все хризантемы срезали, начали готовиться к зиме. Но всё равно невероятно понравилась увядающая красота природы. Хочется вернуться весной, даже не представляю какая красота, кожа всё цветёт.",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Ботанический сад-институт,Анастасия З,5,"Попали на цветение роз ! Это был рай , не просто красота цветения , но летал аромат этих волшебных королев .",Опубликовано 9 ноября 2021 г.
