zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),"""ШАМОРА-ТУР""",5,"Обязательный к посещению, туристический объект. Побывав на борту подводной лодки, Вы узнаете в каких условиях воевали с фашистами и японцами наши деды и прадеды.",Опубликовано 20 декабря 2019 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),2013_400,4,"Подводная лодка стоит на набережной г. Владивостока. У нее интересная история, её привезли по частям, а потом собирали уже на месте. Достопримечательность города!",Опубликовано 7 мая 2015 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),311_2014,4,"Настоящая подводная лодка, а не макет. Обязательно стоит посетить экскурсию - внутри интересно, да и история не непростая. Кроме того, это один из символов города: около нее назначают встречи, приезжают фотографироваться свадьбы...",Опубликовано 7 мая 2015 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),444Sveta,5,"Любимый с детства, один из самых необычных в городе. С одной стороны - рассказ о подвиге советских подводников... с другой - посмотреть ""внутренности"" настоящей подводной лодки. Когда идешь по жилым и служебным помещениям, переползаешь из отсека в отсек по узким лазам, очень легко представить себе чувства подводников, несущих службу в похожих условиях. Регулярно посещаем на 9 мая, как ритуал... с семьей и друзьями.",Опубликовано 14 октября 2016 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),576alex,5,"Этот мемориал я посещал еще ребенком и был поражен необычайно. Это настоящая подводная лодка, которая вела бои во время Второй Мировой войны. Впечатления для ребенка незабываемые, но я еще раз был там пару лет назад. Очень рекомендую гостям города и всем нашим жителям также.",Опубликовано 3 августа 2016 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),64562864,4,"За сто рублей можно познакомиться с историей подводного флота и даже пощупать своими руками некоторые аксессуары подводной лодки. Утром велика вероятность попасть в пробку с китайской группой. Ох, и любят же они создавать толпу!",
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),77ALEKSEI77,5,"Прогуливаясь по корабельной набережной невозможно не посетить один из основных символов города. Этот мемориал не только поведает вам об истории, но и даст возможность почувствовать себя в роли одного из членов экипажа. Пройдись по лодке, представь себя её частью, осознай тесноту и сплоченность условий быта былых времён.",Опубликовано 16 сентября 2016 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),809_13,4,"Сейчас она на реставрации,но после думаю обязательно сходите разок. Я несколько лет назад,конечно там почти нечего смотреть,но все равно побывать в подводной лодке,да еще и герое,думаю интересно..) после реставрации думаю еще разок сходить )",Опубликовано 22 июня 2013 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),A69-niisf,3,"Кто был в Питере на д-2, может не ходить...
Большая половина зачищена и превращена в банальный выставочный зал.
В целом, напрягает толпа экскурсантов с китайскоговорящиии гидами.
Пара отсеков оставлены оригинальными.
От столицы ТОФ ждёшь большего.",Опубликовано 5 октября 2018 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),A_Shumilov,5,"Первые два отсека - рассказывают о развитии подводного флота и об истории, о людях и событиях. Довольно познавательно и интересно. Информация доступная)
дальше отсек с маленькой комнатой капитана и рубкой радиста, очень аскетично, но функционально. Дальше приборный отсек - где можно покрутить штурвалы, посмотреть приборы, перископы, ну и вообще проникнуться сложностью всей подводной лодки. Следующим идет отсек для матросов с подвесными кроватями и атомными (?) бомбами)) Интересно, что переход между отсеками в виде круглых дверей, диаметром меньше метра) В общем, там очень атмосферно",Опубликовано 3 августа 2014 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),Aadeliya,5,"Очень интересно попасть внутрь лодки, жалко конечно что вся лодка ни как конец музея, но для меня даже это было впечатляюще и познавательно",Опубликовано 13 июня 2017 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),Aisteinki,4,"Когда увидела там радиста в рубке - даже испугалась.
Очень реалистичный музей.
Не понимаю, как они там быстро бегали по лодке, если даже с моими миниатюрными размерами было тяжело протискиваться.
Рекомендую всем, кто хоть раз смотрел фильмы про подводные лодки. Почувствовать себя внутри дейситвтельно здорово",Опубликовано 5 ноября 2013 г.
Дальневосточный округ,Приморский край,Владивосток,Развлечения в Владивостоке,Мемориальная гвардейская краснознаменная подводная лодка С-56 (Mузей),Alecsiel,5,"Одна из главных достопримечательностей города! В саму подводную лодку проводится экскурсия, которую хотя бы раз нужно посетить. Там очень интересно!",Опубликовано 3 июля 2017 г.
