zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,193337,5,"Музей расположен в старинном японском здании . Красивая прилегающая территория, на которой расположен фонтан, разнообразная растительность нашего региона и красивый розарий. В музее интересные экспонаты, рассказывающие о нашем прекрасном острове.",Опубликовано 27 октября 2015 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,775natalia,5,"Фасадная часть этого музея красуется на многих открытках Южно-Сахалинска и это не зря, потому что это кусочек Японии, доставшийся нам исторически. Посетителей ждет прекрасный фонтан, аллеи и клумбы, усыпанные прекрасными цветами и интересная экспозиция об истории нашего острова",Опубликовано 11 июля 2017 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,77Anna772013,5,"отличные экспозиции, лучше брать гида Константина (он лучший), можно фотографировать, есть сувенирный магазин",Опубликовано 1 августа 2021 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Alexandre Vassiliev,4,"Рубежи нашей необъятной Родины явно укреплены музеями. В японском, хорошо сохранившемся здании в Южно-Сахалинске - Краеведческий музей в советском вкусе. В немецкой бирже в Калининграде - тоже музей, как и в шведском замке в Выборге. Особенно понравилась сама архитектура здания , ее гармония с природой и выверенность деталей. А вот экспозиция, в основном основанная на книжных фотографиях каторжников и бойцов не несет эмоционального заряда. Историк моды Александр Васильев",
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,AlisaLokina,5,"Чуть ли не единственное здание выполненное в традиционном японском стиле, сохранившееся на острове. Очень красивое. Помимо истории народов края, можно увидеть военную технику.
Приятно просто погулять по саду вокруг здания",Опубликовано 5 октября 2015 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Ann C,3,"Очень хорошо расположен музей, но наше пребывание там было слишком долгим. Наше проживание было в два раза более долгий путь, чем это должно было быть, и исходное время было бы лучше. Я потерял интерес посередине через и выходил на улицу, чтобы посидеть на солнце и насладиться окружающими садами.",Перевод: PROMT
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Biggls,2,"Музей находится в двухэтажном доме на первом этаже в квартире. Экспонаты скудные, во дворе стоит каменная глыба вулканической породы. Не впечатляет. Лучшее что есть посмотреть на острове - это сам остров.",Опубликовано 13 декабря 2013 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Dairis D,5,"Когда какое-то место обычно мы хотим узнать о людях, природе, традициях, кухня и других вещей особого места / этого региона. Этот музей дает общее мнение по всему. Выбор в блюд замечательный. Вы можете увидеть платья местных жителей, инструментов, зданий. Животные районе и какой-то истории.Парк / сад снаружи тоже красивый.",Перевод: PROMT
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Denis N,5,"Японская архитектура, множество интереснейших экспонатов, красивейший сад вокруг музея, тишина и спокойствие - это место определенно стоит посетить!)",
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Dmitriy,3,"Когда вы приедете на остров Кунашир или Шикотан или Итуруп (не имеет значения), вы увидете, что жизнь здесь течет своим чередом. Здесь свой уровень инфраструктуры, свои стандарты и уклад жизни. Не удивляйтесь и если решите посетить местный музей. Расположен в старом двухэтажном жилом доме (выше здесь по-моему и не строят), в одной из квартир (входная дверь как в квартиру, рядом еще одна, будто вход в подъезд). Слева большая поросшая мхом глыба. Не помню, когда последний раз меня что-то впечатляло в российских краеведческих музеях, но здесь как-то совсем бедненько. Внутри ощущение, будто попал в чью-то довоенную квартиру. Жаль, что музеи у нас находятся в таком печальном состоянии. Стоит ли посещать, решать вам, так или иначе, на это не уйдет много времени и денег (вход 50р.)",Опубликовано 7 апреля 2014 г.
