zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,123117,5,"Парк Южно-Сахалинска- это незабываемое место. Великолепная природа, красивые ухоженные аллеи, шикарное озеро со сказочным мостом. Можно совершить путешествие в детство, проехав на детской железной дороге. Много аттракционов для ребятишек и взрослых. В парке можно вкусно поесть в разнообразных кафе и ресторанчиках.",Опубликовано 6 августа 2014 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,123117,5,"Парку Южно-Сахалинска много лет. Всегда он был местом, куда приходили с радостью все от мала до велика. Я это помню с детства. И теперь, когда я живу далеко от родного города, я часто вспоминаю именно парк. А когда я приезжаю в Южно- Сахалинск, я обязательно иду прогуляться по парку. Здесь огромные , необыкновенно красивые деревья, укромные тропки, здесь необыкновенно пахнет лесом. А какое красивое озеро! И сказочный мост, речка, водопад. В парке есть и качели-карусели, детская железная дорога. Но для меня самое приятное - побродить по тропкам, подышать волшебным Сахалинским воздухом, окунуться в Сахалинскую сказку. Причем в любое время года!",Опубликовано 23 декабря 2013 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,133Alin,4,"Парк хорош и для романтических прогулок, и для прогулок с детьми. Удобно расположены аллеи, множество ресторанчиков (особенно нам понравилиь""Старый друг"" и ""Подкова""). Вчечром красивая иллюминация. Посетите, не пожалеете.",Опубликовано 16 ноября 2013 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,177_70,5,Без преувеличения но те кто родился здесь любят свой парк.Это островок природы в нашем городе.Еще при японцах это было место для высшей аристократии.Думаю другие отзывы излишни.,Опубликовано 18 февраля 2015 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,193337,4,"В парке хорошо представлена растительность Сахалина, очень нравится ""тропа здоровья"", вдоль которой выстроены беседки с бесплатным WI-FI. Есть красивая центральная аллея с сакурами, подаренными городу жителем Японии. Большое количество аттракционов для взрослых и детей.",Опубликовано 27 октября 2015 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,775natalia,4,"Южно-Сахалинск- не самый экологически чистый населенный пункт в нашей стране, поэтому глоток чистейшего воздуха, который можно получить, прогуливаясь в парке всегда приятен. Эти прогулки сопровождаются такими ""приятностями"" как: красочная иллюминация, красивый вид на озеро, в определенное время года цветение аллеи сакуры. Для детей и молодежи есть интересные аттракционы.",Опубликовано 11 июля 2017 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,77Anna772013,5,"огромный и замечательный парк, на территории 2 озера, много локаций для фото, поющий фонтан (в 21ч), детская площадка, кафе, детская железная дорога, колесо обозрения, рядом зоопарк",Опубликовано 1 августа 2021 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,ABdeRozari,3,"Я был в Yuzhno на лета 2011. Утром вы найдете детей, играющих и взрослых, загорающих, в то время как вечером, вы найдете любителей, замечательно проводящих время вместе. Я раньше наслаждался вечером после катания на велосипедах вокруг Yuzhno вечером.",
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,ADITYA,5,"Мы, к сожалению, ездили зимой, но все равно понравился парк, толстым мало ногами снега.Дети могут играть вокруг на велосипедах снега.Я бродила по на набережной и очень понравилось.",Перевод: PROMT
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Albina S,5,"месторасположение, аттракционы,природа , все,что нужно на отдыхе с детьми и не только Множество ресторанов,кафе. Есть прогулки на лодках, детском поезде, Очень много родителей с детьми не только в выходные, но и в будни. Рядом отели и прекрасный вид на сам город Южно-Сахалинск. Незабываемые впечатления и шикарные фотографии на память",Опубликовано 3 сентября 2014 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Alex V,4,"Мне лично все понравилось. Я из города, где парков раз-два и обчелся, потому и люблю природу, наверное.
Много деревьев, свежий воздух... Что еще нужно? )
Для любителей спорта- беговые дорожки, детям- тоже найдется чем заняться.
Уровень исполнения, конечно, далек от идеала, но ведь главное природа какая! )
Да, еще и от центра близко- пешком дойти можно!",Опубликовано 27 января 2014 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Alexander S,5,"Отличный парк с огромной территорией, большим озером с лодочной станцией и железной дорогой. Был в зимнее время ж/д и аттракционы не работали, но привлекательность места ни чуть не снизилась. На замерзшем озере было две снежные горки с широкими скатами, на которых можно скатываться одновременно по два и более человек. У озера были установленны ледяные и снежные фигуры героев популярного анимационного фильма про трёх богатырей. Снежных фигур я ранее не где не видел. Расчищенные снежные тропинки рассекают территорию парка давая возможность побродить в тишине или прогуляться в шумной компании.",Опубликовано 4 марта 2017 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Alexander_Kudrin,5,"Большой ухоженный парк в центре города. Мы были здесь поздно ночью, около часа ночи, при этом все было освещено, горело даже декоративное освещение. Очень красивое озеро с декоративным подсвеченными разноцветными огнями мостиком. Замечательное место для прогулок, однозначно стоит сходить.",
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Altyneye,4,"Мне кажется, достоинство парка именно в его естественности, протоптанные дорожки плавно переходят в лес. В парке здорово гулять с детьми: много аттракционов, детская железная дорога. , можно покормить птичек. Рядом с парком находится городской зоопарк, где можно продолжить прогулку. Из недостатков - шашлычно - питейные заведения и любители собак. не убирающие за своими питомцами.",Опубликовано 8 ноября 2013 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Andrey A,5,"По территории парка протекает небольшая река, впадающая в озеро. По озеру можно покататься на лодках. С озера вам будет представлен прекрасный вид на горы и сопки. В самом парке есть тропа для прогулок. Детям по душе придется веревочный парк, полоса препятствий, которые в хорошую погоду никогда не пустуют. Ну и традиционные аттракционы. Заходите, в любое время года.",Опубликовано 2 июля 2019 г.
Дальневосточный округ,Сахалинская область,Сахалин,Южно-Сахалинск,,Andrey_Solovyev,5,"Парк довольно большой, в нем есть детская железная дорога, аттракционы, спортивные площадки и свето-музыкальный фонтан с разными программами. Рядом с парком Гагарина находится зоопарк.",Опубликовано 25 августа 2021 г.
