zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,Aleksandr S,4,"Мы в начале августа, период цветения лотоса, посетили озеро, расположенное в двух километрах от с. Дубовый ключ, на дороге есть указатель, мимо не проедешь. Вход на человека 50 рублей, машина 300 рублей, но смысл въезжать на машине есть только если вы приехали на пикник. На посещение озера с фотографиями и обходом вокруг озера хватило полтора часа. Этого времени вполне достаточно, если пикник на берегу не входит в ваши планы. Территория убрана, есть беседки, но все очень просто. Это одно из популярных мест в Приморье для желающих в этот короткий период, около месяца, посмотреть цветущий лотос, в выходной день много людей. Стоит плакат, купаться запрещено, но некоторые купаются. Есть прокат катамаранов, некоторые приезжают со своими надувными лодками 🚣‍♀️ и сапами.",
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,Eva,5,"Волшебное место) Хочешь - созерцай, хочешь - плавай среди них, хочешь - катайся на катамаране и фотографируй))) Лотосы повсюду!!!!! Размером с голову взрослого человека... Я никогда такого не видела... Или может так близко не видела... В общем это удивительное место! Мимо не проезжать!!! P.S. Лотосы цветут месяц с 20 июля по 20 августа)",Опубликовано 8 августа 2018 г.
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,Malibu90210,5,"Шикарное место, для проведения времени с семьей. Также дают на прокат лодку, дабы максимально насладится великолепием этого места.",
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,NLB-Artem,4,"Может, я слишком мало времени провел в Уссурийске, но кроме этого озера не нашёл ничего, достойного восхищения... А озеро действительно прекрасно, особенно в начале августа, в период цветения.",Опубликовано 26 августа 2019 г.
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,Natalia К,3,"Волшебство цветущего лотоса и тишину мартовского замерзшего озера- это нужно прочувствовать самим, побывав там!",Опубликовано 4 сентября 2015 г.
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,Olga V,5,"Отличное место для проведения семейного отдыха или с друзьями, есть баня вокруг красивый лес, вода чистая. Красиво особенно когда цветут лотосы, жалко только что въезд платный.",Опубликовано 7 марта 2016 г.
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,Pahenich,5,"Были там в конце июля. Раньше оно было просто дикое, потом его выкупили, облагородили и начали выращивать лотосы. Поначалу их немного было, но лотосы все разрастались... И уже на треть озеро заросло лотосами. Озеро не чистят-цветы ил любят, а кто хочет покупаться-для этого есть отведённые места. Вообщем, если вы находитесь в этих местах и в положенное время, обязательно посетите!",
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,Rosivdapirt88,5,"Тишина и покой. Можно часами разглядывать уток рассекающих зеркальную поверхность озера, гулять по лесу, наслаждаться ароматами и звуками бабьего лета.",Опубликовано 12 сентября 2015 г.
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,Soleil1958,5,"Каждый год во время цветения этого волшебного цветка все стараются приехать на это озеро, Красота неописуемая! Смотришь на эти дивные цветы и все печали уходят прочь, в душе наступает покой и сердце готово снова дарить радость окружающим. За озером ухаживают, всюду чистота и порядок, а места для отдыха хватает всем и простор такой, что никто никому не мешает! Отличное место для семейного отдыха и встречи друзей!",Опубликовано 2 июня 2016 г.
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,Tatiana_05_2014,5,"Озеро расположено между поселками Дубовый Ключ и Кондратеновка Уссурийского района Приморского края. Заехать на территорию Озера Лотосов на машине (от количества людей в ней не зависит) стоит 200 рублей. За столики, беседки и баню придется заплатить отдельно.Цена на беседки зависит от количества человек: до пяти человек — 500 рублей, от 10 и больше — 1−3 тысячи рублей в зависимости от типа беседки. Можно здесь и попарится в бане. Это удовольствие обойдется в 1,5 тысячи за один час. Полчаса на двухместном катамаране обойдется в 200 рублей, трехместном — 250 рублей. Полчаса в лодке — 250 рублей.. Столик на берегу стоит 50 рублей. На озере много диких уточек. Любители рыбалки утверждают, что и рыбка здесь водится. Но в этой красоте встречаются и змеи. Озеро ухоженное. Отдыхать приятно. Есть песчаные пляжи. Но и там, где нет песка, дно приличное, хотя надо соблюдать осторожность и не наступить на ""водяной орех"", шипы которого могут проколоть даже толстую подошву. К лотосам разрешено подплывать. Запрещается их рвать. А вот фотографировать можно от души.",
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,VilenaTur,5,"Озеро находится в пригороде Уссурийска. Цветение лотоса зрелище потрясающее. Пик цветения приходится на конец июля-начало августа. Любоваться лотосами можно и с берега, и с воды (воспользовавшись катамараном). С берега к лотосам можно приблизиться на расстояние вытянутой руки. Вокруг озера по всему берегу установлены столики и скамейки. Берег чистый. На берег вода выносит семенные коробочки отцветших лотосов, которые не возбраняется собирать и выращивать лотосы уже в домашних условиях. Цветы лотоса чУдные, нежные. Кроме того, в озере можно искупаться.",Опубликовано 26 августа 2015 г.
Дальневосточный округ,Приморский край,Уссурийск,Развлечения в Уссурийске,Лотосовое озеро,Warenik,5,"Отличное место для того, чтобы полюбоваться лотосами. К цветам можно подойти достаточно близко, в некоторых местах еще сохранились мостки. Можно прокатиться на катамаране. В следующий раз приедем сюда на пикник - вокруг озера установлены столики со скамейками, можно арендовать беседку. Добраться сюда достаточно легко - за деревней Дубовый Ключ установлен указатель, который невозможно проехать",Опубликовано 14 августа 2017 г.
