zone,region,city,att_type,att_name,author,rating,comment,comment_date
Дальневосточный округ,Приморский край,Шкотово,Развлечения в Шкотове,Приморский Сафари-парк,Allan_Kirby,5,"Три самостоятельные зоны сафари-парка, где вы можете самостоятельно прогуляться, но лучше взять экскурсии, так будет интереснее.
1 зона (хищные звери, птицы)
2 зона (тигры, леопарды и медведи)
3 зона (львы, рысь, пума) + кролики
Нахватает разнообразия сувениров, если с детьми, то мягких игрушек тех зверей, что только что увидели, а так же почтовых открыток, чтобы поделиться увиденным со своими друзьями и родственниками, которые не не бывали и напрягли прилетят в Приморский край.",
Дальневосточный округ,Приморский край,Шкотово,Развлечения в Шкотове,Приморский Сафари-парк,Dashkin,4,"Ничего особенного, но ситуацию спасла девочка экскурсовод-Маргарита. Очень интересно рассказывала и отвечала на все вопросы. Маленьким детям будет проблематично передвигаться в некоторых местах, плюс за ними там надо следить, поэтому имейте в виду при посещении, тк в нашей группе некоторые родители забыли о своих чадах. Есть 3 варианта маршрута экскурсии, каждый оплачивается отдельно, продолжительность 40-60 минут. Вход взрослым 700р. Мясо хищникам 100р-4 куска курицы. Корм остальным выдаст экскурсовод. Меня парк не впечатлил вообще. Ребенка тоже.",Опубликовано 8 июня 2022 г.
Дальневосточный округ,Приморский край,Шкотово,Развлечения в Шкотове,Приморский Сафари-парк,Elena B,5,Были на экскурсии по 1 маршруту. Мальчишка экскурсовод все очень интересно рассказывал. 60 минут пролетели вообще не заметно. Увидели всех животных по этому маршруту. Были с 3 летним ребенком. Проблем с трудностью передвижения со всем не возникло.,Опубликовано 1 августа 2022 г.
Дальневосточный округ,Приморский край,Шкотово,Развлечения в Шкотове,Приморский Сафари-парк,Swetlanka S,5,"Экскурсоводы суперские - знают и понимают о чем говорят.
Особенно интересно на 2 и 1. С собой ничего брать не надо, чтобы покормить мишек и оленей, ребята с Вами поделятся.
На 3й делаешь обход самостоятельно - там только львы, кролики и бабушкин дворик. Если хотите поглядеть на реакцию львов лучше взять контейнеры с мясом на кассе - а так они просто спят без движения.
Всем советую посетить. Нам очень понравилось.
Р.s. в обед лучше не ехать либо вечером либо утром, в обед хищники в основном спят, греясь на солнышке.",
Дальневосточный округ,Приморский край,Шкотово,Развлечения в Шкотове,Приморский Сафари-парк,mnr2001,5,"Недавно по телеканалу ""Моя планета"" огласили рейтинг зоопарков на нашей планете. Так вот — первое место они присудили Приморскому Сафари-парку. Конечно рейтинг этот субъективный, но я готов с ним согласиться, зоопарк здесь замечательный. Тигры и леопарды содержаться здесь не в клетках, а в природных условиях, хотя, конечно, их территория ограничена. А посетители проходят по специальной пешеходной дорожке, приподнятой на 6 метров над землёй, куда хищники не могут допрыгнуть. Оттуда можно сделать хорошие снимки, а также самим покормить хищников мясом, купленным при входе в парк за 100 рублей. Поэтому хищники здесь ленивые, закормленные. Вероятно именно этим и объясняется знаменитая дружба между тигром Амуром и козлом Тимуром, которые и находились в этом парке. Тигра Амура и сейчас можно там увидеть (и покормить), а вот козёл Тимур не дожил до наших дней, помер, причём тигр в этом не виноват. Могилка Тимура находится при входе в парк. Кроме хищников здесь можно пообщаться с другими животными — оленями, енотами, которых можно кормить из рук. Здесь есть также грифы, орлы, совы, лесные коты и даже пума. И много других животных и птиц.
В конце заметки дам небольшой совет — если у Вас группа из 4 человек, лучше всего добираться до парка на такси. Цена поездки будет такая же как и на автобусе, а времени потратите в 2 раза меньше. Всем удачи и удовольствия!",
Дальневосточный округ,Приморский край,Шкотово,Развлечения в Шкотове,Приморский Сафари-парк,olegkrylov,5,"Посетили в непогоду, разочарованы не остались. Зоопарк имеет свою мульку, есть что посмотреть, кого покормить. Единственный недостаток - далековато от Владивостока",
Дальневосточный округ,Приморский край,Шкотово,Развлечения в Шкотове,Приморский Сафари-парк,Андрей Т,1,"Отзыв сразу скажу не лестный! С Владивостока ехать даже на такси не близко, переодически пробки учитывая двух полосное движение. По приезду высаживают на грунтовой дороге с лужами в ухабах. И отправляют в «ларёк кассу» позже всех сгоняют в маленький отстойник для создания группы от 70 человек. Позже подходит неопрятный экскурсовод с дешевой кричалкой. И вот вы и проходите по Коридору выполненному из металических ржавых прутьев, странные первое впечатление, и сразу в в горку. Замечу это лучший 1 первый маршрут(всеми так любимый) огромные пространства и животных не сразу заметите.. если отстаёте от Экскурсовода, то врятли что услышите. Непонятные созданные вольеры по советским технологиям, отсутствие прозрачных сеток говорит об экономии. Отсутствуют фотозоны и места остановок. Стенды очень маленькие и не формативные. Постоянные отдёргивание экскурсовода с потешным юморком. Дорожки по земле не облагоророженны от слова вообще. Да и сами вольеры Аля - прошлый век. Животные ухоженные не перекормленные. Но их количество очень мало. Глядя на медведей можно сказать что-то не то. После в заключении непонятные утки и снова клетка накопитель на выходе. Зачем? Ну ладно… выйдя вы увидите отсутствие сервиса!!! Что-то намудрили с выгребной ямой. Вонь на 100 метров. А эти рукомойник… ну правда прошлый век, а убогие урны сваренные из труб.. и типо « ларьков» с товаром, ну правда … руководство не вкладывается от слова вообще. Или эти чудо сувенирная продукция от бабы Клавы… вообщем везде грязь и отсутствие вкуса. Рекомендую кто это создавал посмотреть сафари в Чехии или Тбилиси. В итоге не посоветую никому туда ехать.. потеря времени и денег. Увы в наше время нельзя так принимать туристов",
Дальневосточный округ,Приморский край,Шкотово,Развлечения в Шкотове,Приморский Сафари-парк,Василий С,5,"Приятно ходить в зоопарк, где животные сидят не в маленьких бетонных клетках, а гуляют по большой территории и где о них заботятся. Сафари-парк находится в паре часов езды от Владивостока, если нет автомобиля, можно воспользоваться услугами турфирм или сесть на автобус на автовокзале, который высадит в километре от входа в парк или совсем рядом, это по настроению водителя.
По поводу зон зоопарка, животных и посещения - исчерпывающая информация есть на сайте парка, что приятно.
В парке можно посмотреть на краснокнижных леопардов и амурских тигров, на сов и сапсанов, на львов и пум. Тропинки часто проложены на высоте, поэтому придется немного подниматься и спускаться. Есть зона с оленями и изюбрями, которые спокойно подходят к людям покормиться.
Время в зоопарке пролетело незаметно, даже жаль, что на некоторых животных и птиц посмотрели меньше, чем хотелось бы.",Опубликовано 4 ноября 2022 г.
Дальневосточный округ,Приморский край,Шкотово,Развлечения в Шкотове,Приморский Сафари-парк,Земфира Г,5,"Ходили на 2 экскурсии. Птицы и мелкие хищники и тигры, леопард и копытные. Очень понравился гид Иван. Молодец!!! Так интересно рассказывал. Хороший контакт с животными. Очень внимательный к экскурсантам. Рекомендую!!!",
Дальневосточный округ,Приморский край,Шкотово,Развлечения в Шкотове,Приморский Сафари-парк,Ксения А,3,"Сделайте кто-нибудь с экскурсоводом Артемом, когда такой юный парень уже так не любит людей, может ему не стОит экскурсоводить?
На тигра, лежащего рядом, группе совсем не оставил времени посмотреть (даже пяти минут не провели рядом с ним) при этом на оленей останавливал группу регулярно и на долго. Постоянно подгонял «идите сюда», «не отставайте», «не надо меня снимать».. информацию о животных говорил безучастным заученным текстом, а на уточняющие вопросы отвечал «я все же уже сказал».
Ну и коронное: «по оленям вопросы есть?»

Сам парк и животные прекрасны, но такой экскурсовод не вызывает желания возвращаться.",Опубликовано 28 июля 2021 г.
